Gene_original,Gene_limpo,ENTREZID
ASAP2,ASAP2,8853
TTI1,TTI1,9675
PLXNB1,PLXNB1,5364
RRP8,RRP8,23378
SIPA1L1,SIPA1L1,26037
CYB5B,CYB5B,80777
PRPF4,PRPF4,9128
PHGDH,PHGDH,26227
NDUFS4,NDUFS4,4724
SEPTIN4,SEPTIN4,5414
DYNC1LI2,DYNC1LI2,1783
PSMD3,PSMD3,5709
PAPSS1,PAPSS1,9061
ZW10,ZW10,9183
PRODH,PRODH,5625
SART1,SART1,9092
GPAA1,GPAA1,8733
TGFB1I1,TGFB1I1,7041
SRGAP3,SRGAP3,9901
AP5Z1,AP5Z1,9907
HSPA12A,HSPA12A,259217
CTIF,CTIF,9811
PPIP5K2,PPIP5K2,23262
MAP3K7,MAP3K7,6885
EEF1E1,EEF1E1,9521
MSI1,MSI1,4440
RASA4,RASA4,10156
HNRNPR,HNRNPR,10236
PRPF3,PRPF3,9129
TXNL1,TXNL1,9352
TPD52L2,TPD52L2,7165
ERI3,ERI3,79033
GRID2,GRID2,2895
SYNJ1,SYNJ1,8867
FIBP,FIBP,9158
EIF4G3,EIF4G3,8672
PPIH,PPIH,10465
HTRA2,HTRA2,27429
AKR7A2,AKR7A2,8574
PROM1,PROM1,8842
EPB41L2,EPB41L2,2037
TGOLN2,TGOLN2,10618
B4GAT1,B4GAT1,11041
DENR,DENR,8562
XPOT,XPOT,11260
DNPH1,DNPH1,10591
DCX,DCX,1641
TIMM44,TIMM44,10469
TRAPPC3,TRAPPC3,27095
CHMP2A,CHMP2A,27243
NCK2,NCK2,8440
TSPAN6,TSPAN6,7105
PLRG1,PLRG1,5356
RGS10,RGS10,6001
ZNF207,ZNF207,7756
NDUFB5,NDUFB5,4711
NDUFB3,NDUFB3,4709
NDUFA2,NDUFA2,4695
GET3,GET3,439
BUB3,BUB3,9184
ACTN4,ACTN4,81
GSTZ1,GSTZ1,2954
BUD23,BUD23,114049
HTATSF1,HTATSF1,27336
KDELR3,KDELR3,11015
PRKAB2,PRKAB2,5565
AP1G1,AP1G1,164
STX6,STX6,10228
SYNGR1,SYNGR1,9145
SYNGR2,SYNGR2,9144
SYNGR3,SYNGR3,9143
SGTA,SGTA,6449
ENSA,ENSA,2029
SLC25A20,SLC25A20,788
NARS1,NARS1,4677
MYO1B,MYO1B,4430
SLC25A17,SLC25A17,10478
NUDT21,NUDT21,11051
LANCL1,LANCL1,10314
STRN,STRN,6801
RRP9,RRP9,9136
CFAP410,CFAP410,755
SLC37A4,SLC37A4,2542
ZBTB14,ZBTB14,7541
IDH3B,IDH3B,3420
NRDC,NRDC,4898
CALU,CALU,813
AHCYL1,AHCYL1,10768
CD5L,CD5L,922
ORC5,ORC5,5001
NDUFS5,NDUFS5,4725
PDE6D,PDE6D,5147
ORC4,ORC4,5000
RAD21,RAD21,5885
KALRN,KALRN,8997
DHX16,DHX16,8449
PPP1R12B,PPP1R12B,4660
MED14,MED14,9282
PCDH7,PCDH7,5099
PRPSAP2,PRPSAP2,5636
SMARCA5,SMARCA5,8467
KIAA0513,KIAA0513,9764
SPAG9,SPAG9,9043
SUSD5,SUSD5,26032
KIF5C,KIF5C,3800
AQR,AQR,9716
OPA1,OPA1,4976
ZEB2,ZEB2,9839
MCM3AP,MCM3AP,8888
PIP5K1C,PIP5K1C,23396
KIF1B,KIF1B,23095
KDM1A,KDM1A,23028
PHLPP1,PHLPP1,23239
GSDME,GSDME,1687
NRP2,NRP2,8828
MAN1A2,MAN1A2,10905
PLXNC1,PLXNC1,10154
ACSL4,ACSL4,2182
SNX3,SNX3,8724
OGA,OGA,10724
SORBS3,SORBS3,10174
SYNCRIP,SYNCRIP,10492
TPST1,TPST1,8460
CDC40,CDC40,51362
RANBP6,RANBP6,26953
NEMF,NEMF,9147
GMDS,GMDS,2762
NMT2,NMT2,9397
PLOD3,PLOD3,8985
DIAPH1,DIAPH1,1729
SELENOF,SELENOF,9403
TSPAN3,TSPAN3,10099
SNAP91,SNAP91,9892
