ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Contrast,Regulation,Database,n_genes_input,category,subcategory
R-HSA-6790901,rRNA modification in the nucleus and cytosol,39/528,48/4133,0.8125,6.359966856060606,14.29325611121633,2.1973543963644224e-27,2.5203654926299923e-24,2.0932691881155815e-24,114049/9790/57647/11056/79050/57050/9136/22984/55651/51096/134430/55272/51202/84916/27340/55127/11103/4809/5822/23160/55226/10813/55813/10607/51602/10528/27292/10199/56902/1736/10436/54433/84135/4839/55505/2091/25926/10885/25879,39,MB_vs_EPN_like,Up,Reactome,793,NA,NA
GO:0006325,chromatin organization,157/754,331/5514,0.4743202416918429,3.46870266934857,18.43607099709112,6.115199764697048e-54,2.639320218443246e-50,2.4814836939902233e-50,8545/22880/29890/56916/23411/23774/8479/7468/84733/79677/9611/125476/51412/9031/6599/54780/54892/339287/5925/4171/8726/8467/2186/23234/57634/8089/55729/84864/79813/114991/51317/57492/10445/23310/55183/6830/11177/1788/114049/29128/10919/2956/4297/7153/58499/23028/29028/54665/7290/53615/10927/23013/23210/6597/23198/23168/8805/9730/11143/1786/55929/6732/11011/6602/9188/8295/7913/8208/10902/22976/11198/3066/11335/3148/142/8019/345630/4678/57459/10514/51773/10951/4796/57050/55257/317772/6045/56254/3009/1107/2959/222229/9070/546/3007/3146/7443/6827/23515/9219/5929/64426/6749/54969/79697/10155/10428/57332/4152/5757/6598/5928/1106/3006/328/3054/23186/51377/10038/4288/9810/9329/6418/26155/1108/4221/25842/25836/4001/55506/1387/23326/6605/81611/6421/6419/1017/201161/5111/9100/10363/9733/3008/55193/8520/9656/3276/4869/7150/3930/23468/2091/7052/4641/8971/25879/23170,157,MB_vs_EPN_like,Up,GO_BP,793,NA,NA
GO:0003682,chromatin binding,111/777,232/5624,0.47844827586206895,3.4630541871921183,15.339141664889882,1.4453603376709669e-37,1.1505068287860896e-34,9.798021657474765e-35,22880/56916/23411/7468/84733/1912/51412/64641/6599/8726/8467/10592/57634/23060/51317/57492/6830/1788/10051/10919/4292/2956/4297/7153/7343/23028/29028/55206/9878/7290/53615/23397/29089/6597/8805/2551/11143/1786/6602/8208/11198/23394/3066/11335/142/8019/57459/4436/23309/5422/10951/10274/6045/56254/3009/1107/2959/222229/1059/546/3007/54623/5469/7443/9219/7155/6749/54969/10155/57332/6598/5928/1106/3006/328/79892/3054/23186/10038/6418/26155/1108/3516/4221/6829/25842/25836/27043/55506/1387/6605/8243/4089/6421/5111/3184/64318/3008/80335/2521/55193/4841/9126/4869/7150/23468/1104/23636/8971/4774/80324,111,MB_vs_EPN_like,Up,GO_MF,793,NA,NA
GO:0000785,chromatin,160/776,327/5669,0.4892966360856269,3.5745136984141994,19.097447068071222,3.218353395406172e-57,1.9181386236620784e-54,1.5481973702111795e-54,22880/56916/23411/23774/7468/84733/7182/1912/9611/125476/51412/4176/64641/9031/6599/339287/5925/4171/8726/4802/8467/2186/10592/6925/57634/8089/79813/114991/57492/10445/4661/23310/6664/1060/55183/11177/1788/5394/29128/23244/10919/2956/23126/5514/23028/6878/4999/9878/7290/53615/3835/10927/5015/51592/6597/8805/2551/11143/9839/1786/55929/6732/6602/9188/8295/7913/8208/10902/7112/11198/51010/23394/3066/11335/3148/6877/142/8019/4678/57459/10514/23309/5422/51773/23595/10951/4796/10274/55257/317772/23063/6045/56254/3009/1107/222229/1059/5001/546/23047/3007/6908/7515/5469/7443/23515/9219/64426/7155/6749/54969/151987/10155/10428/3182/57332/6598/5928/1106/3006/3054/51377/9810/6418/1108/3516/4221/23160/25842/253738/25836/23076/27043/54512/55506/1387/23326/6605/81611/4089/23383/6421/5111/3184/1385/3008/80335/55193/5989/8520/23532/9126/11052/23468/1104/7052/4641/8971/4781/4774,160,MB_vs_EPN_like,Up,GO_CC,793,NA,NA
HALLMARK_ESTROGEN_RESPONSE_LATE,Genes defining late response to estrogen.,18/188,72/2091,0.25,2.7805851063829787,4.831628103519347,3.520512055651006e-5,0.0012771846663238206,0.0010011525939828381,7263/493/10160/960/2109/120/2317/7466/928/3418/1152/6566/27250/596/6509/9368/4338/5364,18,MB_vs_EPN_like,Down,Hallmark,439,NA,NA
hsa00280,"Valine, leucine and isoleucine degradation",12/256,39/3259,0.3076923076923077,3.917067307692308,5.3501834579741185,2.4466427544481747e-5,0.00699739827772178,0.005949205013447667,26275/3032/18/3030/3712/30/217/223/3155/56922/11112/4329,12,MB_vs_EPN_like,Down,KEGG,439,Metabolism,Amino acid metabolism
R-HSA-5620924,Intraflagellar transport,16/305,34/4133,0.47058823529411764,6.376856316297011,8.885319360610838,3.4383487854963833e-10,2.932911514028415e-7,2.7036279397534723e-7,28981/79659/89891/51626/26160/57728/57539/79989/80173/26146/9742/56912/55764/10383/8100/92104,16,MB_vs_EPN_like,Down,Reactome,439,NA,NA
GO:0003341,cilium movement,27/423,44/5514,0.6136363636363636,7.999032882011605,13.434866038243829,7.157821005817476e-20,2.860981056025245e-16,2.6506541366806193e-16,493/28981/25911/79659/54585/5360/123872/83538/146845/51364/219681/9576/90506/1770/83853/221421/1767/345895/23230/352909/10383/56683/361/583/54919/9368/582,27,MB_vs_EPN_like,Down,GO_BP,439,NA,NA
GO:0016491,oxidoreductase activity,50/427,327/5624,0.1529051987767584,2.013908285528078,5.41475963543833,8.42070169769379e-7,5.88607048668796e-4,5.300610121285144e-4,84263/1666/3032/2232/3030/4129/2766/3712/145482/7923/65263/30/1384/26227/217/2746/37/22949/54996/223/84869/3418/2108/51084/11112/7108/79966/8659/873/6821/51706/25824/7915/10157/54884/56948/3945/2326/2946/4329/10840/5092/3421/9588/8991/100137047/6649/5498/56898/2731,50,MB_vs_EPN_like,Down,GO_MF,439,NA,NA
GO:0031514,motile cilium,37/438,71/5669,0.5211267605633803,6.744903209209595,14.094674777873683,3.048814199207349e-23,1.405503345834588e-20,1.123247336550076e-20,493/476/28981/79659/151011/51626/26160/57728/83538/89765/146845/124045/9576/1069/122481/84058/90506/1770/83853/80173/221421/1767/345895/23230/56912/10383/8100/4957/301/203/1512/583/481/9368/582/9696/2947,37,MB_vs_EPN_like,Down,GO_CC,439,NA,NA
