"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","27/747","53/3535",0.509433962264151,2.4107751761764,5.35585177747557,1.29152624203412e-06,3.29613074909493e-05,1.82551444996314e-05,"5595/2771/5594/5520/5290/2776/2778/2767/5295/4615/4792/2773/355/5602/2770/208/23236/5516/5515/207/7189/5521/3551/5330/5601/4087/55844",27
"Human Diseases","Immune disease","hsa05320","Autoimmune thyroid disease","10/747","11/3535",0.909090909090909,4.30205671169527,5.6768851671016,1.5080336760565e-06,3.29613074909493e-05,1.82551444996314e-05,"355/3122/3105/3115/3133/3113/3123/3107/3106/3127",10
"Human Diseases","Immune disease","hsa05330","Allograft rejection","10/747","11/3535",0.909090909090909,4.30205671169527,5.6768851671016,1.5080336760565e-06,3.29613074909493e-05,1.82551444996314e-05,"355/3122/3105/3115/3133/3113/3123/3107/3106/3127",10
"Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","10/747","11/3535",0.909090909090909,4.30205671169527,5.6768851671016,1.5080336760565e-06,3.29613074909493e-05,1.82551444996314e-05,"355/3122/3105/3115/3133/3113/3123/3107/3106/3127",10
"Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","12/747","15/3535",0.8,3.78580990629183,5.59593891315868,1.7717227601394e-06,3.61431443068437e-05,2.00173589040311e-05,"1363/2571/355/3122/3105/3115/3133/3113/3123/3107/3106/3127",12
"Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","22/747","40/3535",0.55,2.60274431057564,5.27615855686039,2.40386265333875e-06,4.59738732451036e-05,2.54619662623381e-05,"5879/1837/6645/8910/2534/1756/6444/3383/4842/3122/3105/1605/6443/3115/6641/3133/3113/3123/3107/3106/6640/3127",22
"Environmental Information Processing","Signaling molecules and interaction","hsa04517","IgSF CAM signaling","67/747","190/3535",0.352631578947368,1.66874515606285,4.9044078343946,2.66326395753433e-06,4.79387512356179e-05,2.655018558285e-05,"5595/10580/5578/84631/2037/5906/5594/7082/5879/9863/5375/5290/8976/998/387/5908/4684/6711/5295/2036/23136/6709/4897/10552/58494/57555/3556/3635/79784/54413/5781/4478/2534/8573/1445/57502/199731/5803/4916/287/3383/57524/5602/1796/22871/10094/10096/208/10093/81873/8777/4685/10097/57522/347733/94030/207/7189/382/1499/57513/7409/8500/57731/5601/57863/22999",67
"Organismal Systems","Nervous system","hsa04726","Serotonergic synapse","24/747","46/3535",0.521739130434783,2.46900646062511,5.19038204319469,2.93264135908093e-06,4.98549031043758e-05,2.76114186439783e-05,"5595/55970/2771/5578/5594/369/3709/59345/4129/2776/2778/2788/2561/3845/2783/2782/4893/2773/240/2770/23236/5330/3265/4128",24
"Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","44/747","110/3535",0.4,1.89290495314592,4.92400488990209,3.80684879865986e-06,6.13103017047325e-05,3.39558258495423e-05,"5595/55970/5578/5906/5594/22808/2246/5878/5869/5879/5868/9610/59345/4915/5290/998/387/5908/5295/22821/55770/4763/2788/3845/2783/2549/5781/2782/5899/5898/4893/5602/2247/208/5338/5863/207/3551/382/6654/5601/3265/7074/10156",44
"Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","26/747","54/3535",0.481481481481481,2.27849670286083,4.89995023663422,7.84843572011848e-06,0.000120081066517813,6.65051658388987e-05,"5595/55970/2771/5578/5594/2892/59345/9722/117/2776/2778/2788/2890/2783/2977/2891/2782/114/4842/2773/2983/2893/2770/817/23236/5330",26
