Gene,logFC,adj.P.Val,Contrast,Gene_limpo,ENTREZID,Regulation
HNRNPH1,1.8495536618346193,3.2337269964642733e-6,MB_vs_EPN_like,HNRNPH1,3187,Up
HMGB2,2.3318137708019506,3.417411650188342e-6,MB_vs_EPN_like,HMGB2,3148,Up
TAF5,1.4726713142048986,3.4694304275588416e-6,MB_vs_EPN_like,TAF5,6877,Up
PARP1,1.643358612867896,3.477154711246112e-6,MB_vs_EPN_like,PARP1,142,Up
BRD3,1.2720075099830694,3.797940233212855e-6,MB_vs_EPN_like,BRD3,8019,Up
NOL9,1.443245276610547,3.935934076130173e-6,MB_vs_EPN_like,NOL9,79707,Up
BMS1,1.5840866176388957,4.232364056119771e-6,MB_vs_EPN_like,BMS1,9790,Up
ZC3H18,1.0588251965197522,4.686144567447138e-6,MB_vs_EPN_like,ZC3H18,124245,Up
FBLL1,1.7982361526613388,4.755789934105206e-6,MB_vs_EPN_like,FBLL1,345630,Up
RWDD4,2.3165272586491135,4.914055151506417e-6,MB_vs_EPN_like,RWDD4,201965,Up
PYCR1,2.181755042897528,4.914055151506417e-6,MB_vs_EPN_like,PYCR1,5831,Up
NASP,1.9537646333245604,5.030516194621817e-6,MB_vs_EPN_like,NASP,4678,Up
XAB2,1.5557431820708096,5.030516194621817e-6,MB_vs_EPN_like,XAB2,56949,Up
GATAD2B,1.2707764457341781,5.030516194621817e-6,MB_vs_EPN_like,GATAD2B,57459,Up
MSH2,1.568130135174389,5.1004834130886526e-6,MB_vs_EPN_like,MSH2,4436,Up
MYBBP1A,1.7648719850757928,5.1495319448583496e-6,MB_vs_EPN_like,MYBBP1A,10514,Up
DHX37,1.6486375773330622,5.1495319448583496e-6,MB_vs_EPN_like,DHX37,57647,Up
PRR3,2.0648868918907333,5.181428569823403e-6,MB_vs_EPN_like,PRR3,80742,Up
MMTAG2,1.622107065032825,5.494964025654189e-6,MB_vs_EPN_like,MMTAG2,79169,Up
SCAF4,1.3940042832348567,5.511867152235415e-6,MB_vs_EPN_like,SCAF4,57466,Up
TEX10,1.460322339210009,5.552176495474822e-6,MB_vs_EPN_like,TEX10,54881,Up
DDX52,2.5716014664930498,5.6389780572757084e-6,MB_vs_EPN_like,DDX52,11056,Up
SIN3B,1.32657393293362,5.6389780572757084e-6,MB_vs_EPN_like,SIN3B,23309,Up
NOC4L,1.8070599913217258,5.895825514300489e-6,MB_vs_EPN_like,NOC4L,79050,Up
POLA1,1.4706206602238439,6.455261710689345e-6,MB_vs_EPN_like,POLA1,5422,Up
TBCC,1.5961362703168547,6.595691501926845e-6,MB_vs_EPN_like,TBCC,6903,Up
RSF1,1.1588529212945993,6.96340970733613e-6,MB_vs_EPN_like,RSF1,51773,Up
ORC3,1.5749888687380107,7.073902528519374e-6,MB_vs_EPN_like,ORC3,23595,Up
HSD11B2,2.9423472317036357,7.3150529387051725e-6,MB_vs_EPN_like,HSD11B2,3291,Up
PRIM2,2.1594867726389353,7.670050004601613e-6,MB_vs_EPN_like,PRIM2,5558,Up
CBX1,1.5239126643202603,8.265858044123962e-6,MB_vs_EPN_like,CBX1,10951,Up
TONSL,1.8318198637846663,8.343958536426096e-6,MB_vs_EPN_like,TONSL,4796,Up
STAG1,1.3794670007542145,8.343958536426096e-6,MB_vs_EPN_like,STAG1,10274,Up
UTP3,2.312395392496871,8.48028210509782e-6,MB_vs_EPN_like,UTP3,57050,Up
BOP1,1.7823358075727107,8.48028210509782e-6,MB_vs_EPN_like,BOP1,23246,Up
EXOSC9,1.5001254444197762,8.48028210509782e-6,MB_vs_EPN_like,EXOSC9,5393,Up
MRGBP,1.412584704542244,8.48028210509782e-6,MB_vs_EPN_like,MRGBP,55257,Up
H2AC21,1.9751977536863308,9.261766257939927e-6,MB_vs_EPN_like,H2AC21,317772,Up
CRNKL1,1.2686535039870321,9.261766257939927e-6,MB_vs_EPN_like,CRNKL1,51340,Up
NUDT15,1.6541918989349824,9.606641542700236e-6,MB_vs_EPN_like,NUDT15,55270,Up
CCNL1,1.9034547153978032,9.747664538022836e-6,MB_vs_EPN_like,CCNL1,57018,Up
PRR12,2.2532399241331724,1.0570411694859068e-5,MB_vs_EPN_like,PRR12,57479,Up
ELAVL4,2.216894387921183,1.1370741517723512e-5,MB_vs_EPN_like,ELAVL4,1996,Up
WAPL,1.4994448683550807,1.1496723081741315e-5,MB_vs_EPN_like,WAPL,23063,Up
LSM14B,1.4312686099456187,1.1816874007001995e-5,MB_vs_EPN_like,LSM14B,149986,Up
PTBP2,2.4345612308698392,1.3494377304138558e-5,MB_vs_EPN_like,PTBP2,58155,Up
KLC1,1.5143689780953373,1.3550478915484024e-5,MB_vs_EPN_like,KLC1,3831,Up
CYP51A1,1.7896372874686577,1.4161484875846184e-5,MB_vs_EPN_like,CYP51A1,1595,Up
PPM1A,1.2885371739319034,1.4161484875846184e-5,MB_vs_EPN_like,PPM1A,5494,Up
GTF3C2,1.1245024546644444,1.4296282566409217e-5,MB_vs_EPN_like,GTF3C2,2976,Up
PAPOLA,1.1899562168650526,1.4384272940690982e-5,MB_vs_EPN_like,PAPOLA,10914,Up
RNF2,1.0274138969533801,1.6429264843266622e-5,MB_vs_EPN_like,RNF2,6045,Up
RRP9,1.5869114036383856,1.6459895679263118e-5,MB_vs_EPN_like,RRP9,9136,Up
UBE2K,1.2598307688257435,1.6935890837403593e-5,MB_vs_EPN_like,UBE2K,3093,Up
ARIH2,2.128009590644922,1.7216681321414426e-5,MB_vs_EPN_like,ARIH2,10425,Up
GTF2I,1.6008239940094207,1.7358939874500255e-5,MB_vs_EPN_like,GTF2I,2969,Up
TUBB,2.119045490914605,1.763060397498138e-5,MB_vs_EPN_like,TUBB,203068,Up
PPP4R3A,1.2135892573420115,1.7910437310691626e-5,MB_vs_EPN_like,PPP4R3A,55671,Up
PRCC,1.6071696163381013,1.850907962214325e-5,MB_vs_EPN_like,PRCC,5546,Up
LYAR,1.869404528322427,1.857001398644904e-5,MB_vs_EPN_like,LYAR,55646,Up
ZNF536,2.2941316636020375,1.9256726308863174e-5,MB_vs_EPN_like,ZNF536,9745,Up
WTAP,1.0832654456943942,1.9622331319182325e-5,MB_vs_EPN_like,WTAP,9589,Up
