Gene,logFC,adj.P.Val,Contrast,Gene_limpo,ENTREZID,Regulation
SNTB2,-2.0243931404005764,1.3877096342386806e-7,MB_vs_Glial,SNTB2,6645,Down
NIT1,-1.3338512799885756,1.4539142784731188e-7,MB_vs_Glial,NIT1,4817,Down
RIDA,-3.25266037239885,1.4943587333162389e-7,MB_vs_Glial,RIDA,10247,Down
UFC1,-1.4179483050769015,1.5219706508218922e-7,MB_vs_Glial,UFC1,51506,Down
SORL1,-2.0362526826886835,1.5831157785718183e-7,MB_vs_Glial,SORL1,6653,Down
KIF13B,-1.7254752218874394,1.674415749241492e-7,MB_vs_Glial,KIF13B,23303,Down
AHCYL1,-2.919985682557879,1.6775317615770534e-7,MB_vs_Glial,AHCYL1,10768,Down
MSN,-1.9758900835197188,1.6959390112836818e-7,MB_vs_Glial,MSN,4478,Down
SPART,-1.8658443703410974,1.7197058113073955e-7,MB_vs_Glial,SPART,23111,Down
S100B,-4.806959761842471,1.7303930298471662e-7,MB_vs_Glial,S100B,6285,Down
CD59,-3.055290411372784,1.7748022952927042e-07,MB_vs_Glial,CD59,966,Down
ACADVL,-1.3785376797723252,1.8116397813805752e-7,MB_vs_Glial,ACADVL,37,Down
STX4,-1.5316708092169122,1.8924558915367353e-7,MB_vs_Glial,STX4,6810,Down
CAPN2,-1.9619417522184577,2.0071396701600553e-7,MB_vs_Glial,CAPN2,824,Down
MTSS2,-2.4135295969306334,2.066011495900562e-7,MB_vs_Glial,MTSS2,92154,Down
RALB,-1.6860215301203851,2.0905556808301414e-7,MB_vs_Glial,RALB,5899,Down
ITM2C,-2.101286067261192,2.3238064874156542e-7,MB_vs_Glial,ITM2C,81618,Down
NDRG2,-3.7067086180164317,2.3564754686153178e-7,MB_vs_Glial,NDRG2,57447,Down
DECR1,-1.7255468102999068,2.679959182394926e-7,MB_vs_Glial,DECR1,1666,Down
ATP1A2,-3.9832826696583794,2.788926684271552e-7,MB_vs_Glial,ATP1A2,477,Down
