Gene,logFC,adj.P.Val,Contrast,Gene_limpo,ENTREZID,Regulation
SLC30A7,1.8410654840730167,7.454680388633905e-4,ATRT_vs_EPN_like,SLC30A7,148867,Up
NUP210,1.812216595712325,7.454680388633905e-4,ATRT_vs_EPN_like,NUP210,23225,Up
NUDT15,1.7347850466083443,7.454680388633905e-4,ATRT_vs_EPN_like,NUDT15,55270,Up
DDX39A,1.4758592631907028,7.79953290537494e-4,ATRT_vs_EPN_like,DDX39A,10212,Up
CHST14,1.6256100292881435,8.971527544459119e-4,ATRT_vs_EPN_like,CHST14,113189,Up
XPO5,1.8229105186942363,9.082518390676723e-4,ATRT_vs_EPN_like,XPO5,57510,Up
CAD,1.949348166309921,0.0010154444674957156,ATRT_vs_EPN_like,CAD,790,Up
HK2,1.886046070379404,0.0010162215722541836,ATRT_vs_EPN_like,HK2,3099,Up
PAK1IP1,1.827943347564382,0.0010616035604009036,ATRT_vs_EPN_like,PAK1IP1,55003,Up
PLBD1,1.8304718468332624,0.0011360373289357555,ATRT_vs_EPN_like,PLBD1,79887,Up
CYB5R2,2.1412143132421484,0.0011581954590090982,ATRT_vs_EPN_like,CYB5R2,51700,Up
SQLE,1.6040894324769681,0.0011659135800186743,ATRT_vs_EPN_like,SQLE,6713,Up
MAN1A2,1.6565944041476293,0.0011825812676435723,ATRT_vs_EPN_like,MAN1A2,10905,Up
KIF4A,1.4909876849927954,0.0013212309514547672,ATRT_vs_EPN_like,KIF4A,24137,Up
DECR2,2.973676378428955,0.0013337411780309826,ATRT_vs_EPN_like,DECR2,26063,Up
HAPLN3,2.772619988407353,0.0013337411780309826,ATRT_vs_EPN_like,HAPLN3,145864,Up
NOL11,2.3568910733560813,0.0013337411780309826,ATRT_vs_EPN_like,NOL11,25926,Up
PDCD11,1.7240706211563506,0.00135770783063638,ATRT_vs_EPN_like,PDCD11,22984,Up
DCAF13,2.2204032842701054,0.0014150048922477985,ATRT_vs_EPN_like,DCAF13,25879,Up
GALNT10,2.3751615364407463,0.0014584251376007899,ATRT_vs_EPN_like,GALNT10,55568,Up
RBM47,2.4399562657548834,0.0014735759959392453,ATRT_vs_EPN_like,RBM47,54502,Up
EI24,1.6922845263014707,0.0014735759959392453,ATRT_vs_EPN_like,EI24,9538,Up
UAP1,1.7317842768156773,0.0015600594756591474,ATRT_vs_EPN_like,UAP1,6675,Up
SRD5A3,1.632288440450555,0.0016105916823271488,ATRT_vs_EPN_like,SRD5A3,79644,Up
FBXO22,1.4676571349069008,0.0016110462578326327,ATRT_vs_EPN_like,FBXO22,26263,Up
TXNDC5,2.5417518049220647,0.001656282967900574,ATRT_vs_EPN_like,TXNDC5,81567,Up
DHX8,1.03580513221425,0.0016977824711881108,ATRT_vs_EPN_like,DHX8,1659,Up
S100A4,3.927206060936335,0.0016998783269212578,ATRT_vs_EPN_like,S100A4,6275,Up
NOC4L,1.6901380820012903,0.001701708222444953,ATRT_vs_EPN_like,NOC4L,79050,Up
RPS6KB1,1.2271284467610606,0.0017561947255116132,ATRT_vs_EPN_like,RPS6KB1,6198,Up
MPHOSPH10,2.5183683852650347,0.002009086914675762,ATRT_vs_EPN_like,MPHOSPH10,10199,Up
POLR1B,2.5457474492366963,0.002048148129432625,ATRT_vs_EPN_like,POLR1B,84172,Up
NAT10,1.4570881307370556,0.002275742751154271,ATRT_vs_EPN_like,NAT10,55226,Up
UTP6,1.9002646779647456,0.0023923581883157842,ATRT_vs_EPN_like,UTP6,55813,Up
B4GALT7,1.179817569676846,0.002447340337700497,ATRT_vs_EPN_like,B4GALT7,11285,Up
UGDH,2.944296916994535,0.0025186588925467206,ATRT_vs_EPN_like,UGDH,7358,Up
SLC2A3,2.1980858854349705,0.0025186588925467206,ATRT_vs_EPN_like,SLC2A3,6515,Up
DDX21,1.8401677808241814,0.0025203572065828433,ATRT_vs_EPN_like,DDX21,9188,Up
ADGRE5,1.544849248046443,0.00252382716782124,ATRT_vs_EPN_like,ADGRE5,976,Up
ZBTB8OS,1.6081380290032357,0.0025699714874409234,ATRT_vs_EPN_like,ZBTB8OS,339487,Up
HEATR1,1.8096704287128986,0.0026909799800624613,ATRT_vs_EPN_like,HEATR1,55127,Up
GXYLT1,1.4051237401329857,0.0028037626707146414,ATRT_vs_EPN_like,GXYLT1,283464,Up
SAAL1,1.7320130349306648,0.0028319785274407067,ATRT_vs_EPN_like,SAAL1,113174,Up
HEATR3,1.678142278802298,0.0028452234028712143,ATRT_vs_EPN_like,HEATR3,55027,Up
TYMP,2.790643388058033,0.002852260251648471,ATRT_vs_EPN_like,TYMP,1890,Up
MCM5,1.3565250373373345,0.0030020852085954177,ATRT_vs_EPN_like,MCM5,4174,Up
IMP3,1.5019820016776713,0.0031801394175861126,ATRT_vs_EPN_like,IMP3,55272,Up
TOR1B,1.663014280802443,0.0032691117466222123,ATRT_vs_EPN_like,TOR1B,27348,Up
MYOF,2.143812903980603,0.0035785057364589113,ATRT_vs_EPN_like,MYOF,26509,Up
BYSL,1.6612621360529225,0.003770139181583061,ATRT_vs_EPN_like,BYSL,705,Up
WDR36,1.5054189474074384,0.003770139181583061,ATRT_vs_EPN_like,WDR36,134430,Up
UBE4B,1.210212040996069,0.003770139181583061,ATRT_vs_EPN_like,UBE4B,10277,Up
SAR1A,1.0622857884391266,0.003990111224178094,ATRT_vs_EPN_like,SAR1A,56681,Up
UTP18,1.7153299062984466,0.004046827112870325,ATRT_vs_EPN_like,UTP18,51096,Up
SERPINF1,3.126599693217379,0.0041633144848031815,ATRT_vs_EPN_like,SERPINF1,5176,Up
P4HB,1.5819853958265995,0.004176709142791001,ATRT_vs_EPN_like,P4HB,5034,Up
EBP,1.4082278092521712,0.004235416140031091,ATRT_vs_EPN_like,EBP,10682,Up
MGAT1,1.5248493392342937,0.004341351916810579,ATRT_vs_EPN_like,MGAT1,4245,Up
ORC2,1.8432858405407693,0.00442390857402124,ATRT_vs_EPN_like,ORC2,4999,Up
ALDH18A1,1.818642178687,0.004465611717118192,ATRT_vs_EPN_like,ALDH18A1,5832,Up
FKBP10,2.6615370618375884,0.004678853700951625,ATRT_vs_EPN_like,FKBP10,60681,Up
ICAM1,2.711319386386382,0.00483697176711057,ATRT_vs_EPN_like,ICAM1,3383,Up
PNO1,1.6204377662090224,0.005148482768065626,ATRT_vs_EPN_like,PNO1,56902,Up
SERPINH1,2.9453939650951213,0.005221891810720786,ATRT_vs_EPN_like,SERPINH1,871,Up
EXOSC10,1.147163823912802,0.005221891810720786,ATRT_vs_EPN_like,EXOSC10,5394,Up
SLC25A15,1.750699310419872,0.005430491049889328,ATRT_vs_EPN_like,SLC25A15,10166,Up
RBM6,1.4725005426573539,0.00571445172317618,ATRT_vs_EPN_like,RBM6,10180,Up
WDR43,1.4222637045572206,0.00571445172317618,ATRT_vs_EPN_like,WDR43,23160,Up
PRKCI,1.3226283755164125,0.00571445172317618,ATRT_vs_EPN_like,PRKCI,5584,Up
LDHA,1.973940950533489,0.005755707388095416,ATRT_vs_EPN_like,LDHA,3939,Up
STXBP2,2.028200031690318,0.005785523382189058,ATRT_vs_EPN_like,STXBP2,6813,Up
FBN2,3.0900090026465463,0.006164167129551876,ATRT_vs_EPN_like,FBN2,2201,Up
WDFY1,1.4415941863342283,0.006164167129551876,ATRT_vs_EPN_like,WDFY1,57590,Up
CHAF1B,1.812084329588588,0.006346557108991234,ATRT_vs_EPN_like,CHAF1B,8208,Up
EMG1,1.7271458649185902,0.006550274058637994,ATRT_vs_EPN_like,EMG1,10436,Up
KIF11,1.3187419128069067,0.006551012740624967,ATRT_vs_EPN_like,KIF11,3832,Up
PFN1,1.15275196683087,0.006551012740624967,ATRT_vs_EPN_like,PFN1,5216,Up
NIP7,1.4004428690632338,0.006863833098481093,ATRT_vs_EPN_like,NIP7,51388,Up
RAB3D,2.6160696032154576,0.006975777213945693,ATRT_vs_EPN_like,RAB3D,9545,Up
LMAN1,1.5753027017776233,0.006975777213945693,ATRT_vs_EPN_like,LMAN1,3998,Up
MCM6,1.4865545185309799,0.006975777213945693,ATRT_vs_EPN_like,MCM6,4175,Up
DDX52,2.05694163728144,0.007095465355991285,ATRT_vs_EPN_like,DDX52,11056,Up
AUP1,1.258111700337821,0.00758526704776547,ATRT_vs_EPN_like,AUP1,550,Up
SHC1,1.4094588412848452,0.007801698128796548,ATRT_vs_EPN_like,SHC1,6464,Up
ADSS2,1.5295455630667973,0.008076747878697383,ATRT_vs_EPN_like,ADSS2,159,Up
TSR1,1.2072621226499258,0.008084865785631236,ATRT_vs_EPN_like,TSR1,55720,Up
TFB1M,2.060177011990298,0.00810503986971171,ATRT_vs_EPN_like,TFB1M,51106,Up
PDCL3,1.3223136867891832,0.00810503986971171,ATRT_vs_EPN_like,PDCL3,79031,Up
MAD2L1,1.5785925747216183,0.008315455955839152,ATRT_vs_EPN_like,MAD2L1,4085,Up
EED,1.1191448281493699,0.008315455955839152,ATRT_vs_EPN_like,EED,8726,Up
C1QC,2.3030985477613832,0.008978351306455972,ATRT_vs_EPN_like,C1QC,714,Up
SEC61G,2.4402509393964884,0.009142937396981157,ATRT_vs_EPN_like,SEC61G,23480,Up
ACACA,1.0134948645653203,0.009146105340850906,ATRT_vs_EPN_like,ACACA,31,Up
ATP11A,1.2122615453379453,0.009152547371191257,ATRT_vs_EPN_like,ATP11A,23250,Up
MEMO1,1.2355464833123158,0.009271117059193191,ATRT_vs_EPN_like,MEMO1,51072,Up
IVNS1ABP,1.216367179685438,0.009271117059193191,ATRT_vs_EPN_like,IVNS1ABP,10625,Up
IGLV1-40,2.339045836884843,0.009441112076914707,ATRT_vs_EPN_like,IGLV1-40,28825,Up
STAT1,1.6005761462994954,0.009713965863742067,ATRT_vs_EPN_like,STAT1,6772,Up
ACLY,1.3945060996033298,0.009748021016792037,ATRT_vs_EPN_like,ACLY,47,Up
ITGA5,1.332747965419479,0.00983671191658525,ATRT_vs_EPN_like,ITGA5,3678,Up
DNMBP,1.3446118505452702,0.010279664842760737,ATRT_vs_EPN_like,DNMBP,23268,Up
