Gene,logFC,adj.P.Val,Contrast,Gene_limpo,ENTREZID,Regulation
GLB1,2.018627374374063,0.038275807162212724,ATRT_vs_MB,GLB1,2720,Up
DSTN,1.0123057335485726,0.03829465232667824,ATRT_vs_MB,DSTN,11034,Up
ADSS2,1.1508419286829081,0.038556277126862465,ATRT_vs_MB,ADSS2,159,Up
PARP4,1.230726784011516,0.03922410474817447,ATRT_vs_MB,PARP4,143,Up
SERPINE1,1.5227237486337337,0.04095026515740214,ATRT_vs_MB,SERPINE1,5054,Up
CYBC1,1.1269419912972864,0.041902774751913,ATRT_vs_MB,CYBC1,79415,Up
YBX3,1.3656093757979093,0.042592796815315886,ATRT_vs_MB,YBX3,8531,Up
PLIN3,1.3312341888849595,0.04272126669063629,ATRT_vs_MB,PLIN3,10226,Up
NAGLU,1.3123926981289955,0.04313633817959399,ATRT_vs_MB,NAGLU,4669,Up
HK2,1.1005287249725875,0.045036184622947756,ATRT_vs_MB,HK2,3099,Up
FGF2,1.5205233038417134,0.04595942553337178,ATRT_vs_MB,FGF2,2247,Up
ALG3,1.1704542661878463,0.04595942553337178,ATRT_vs_MB,ALG3,10195,Up
C1QC,1.7049698211374178,0.04598071668684912,ATRT_vs_MB,C1QC,714,Up
IGF2R,1.20685213971759,0.04624168991188531,ATRT_vs_MB,IGF2R,3482,Up
S100A10,2.3810075592152167,0.04654165791754481,ATRT_vs_MB,S100A10,6281,Up
ARPC1B,1.2473145327952828,0.04747447953096038,ATRT_vs_MB,ARPC1B,10095,Up
ICMT,1.0630621728767657,0.04856933614763943,ATRT_vs_MB,ICMT,23463,Up
MVP,1.6876759659582845,0.04880757075579332,ATRT_vs_MB,MVP,9961,Up
TMEM165,1.1681674166614897,0.04937597831466725,ATRT_vs_MB,TMEM165,55858,Up
MALT1,1.0977167824575034,0.04994996245912469,ATRT_vs_MB,MALT1,10892,Up
