Gene,logFC,adj.P.Val,Contrast,Gene_limpo,ENTREZID,Regulation
UNC119B,-2.3444314485502105,0.004235416140031091,ATRT_vs_EPN_like,UNC119B,84747,Down
PASK,-1.4809951481858512,0.004235416140031091,ATRT_vs_EPN_like,PASK,23178,Down
TNPO2,-1.2750072933605274,0.004235416140031091,ATRT_vs_EPN_like,TNPO2,30000,Down
EPB41L3,-3.3441551662719213,0.004260334812651608,ATRT_vs_EPN_like,EPB41L3,23136,Down
SPAG6,-2.2811012673687117,0.004266862166597015,ATRT_vs_EPN_like,SPAG6,9576,Down
PCYT2,-1.850276120721837,0.004398542045925586,ATRT_vs_EPN_like,PCYT2,5833,Down
IFT74,-1.8350519882980159,0.00448691912699605,ATRT_vs_EPN_like,IFT74,80173,Down
HMGN3,-1.694924720561886,0.004653438841663985,ATRT_vs_EPN_like,HMGN3,9324,Down
SYNM,-2.5751028468637784,0.00470551131487037,ATRT_vs_EPN_like,SYNM,23336,Down
CBR4,-1.6128460619693925,0.004910363281781164,ATRT_vs_EPN_like,CBR4,84869,Down
DCLK1,-3.8727827374334964,0.004919774824930107,ATRT_vs_EPN_like,DCLK1,9201,Down
TMT1A,-2.472489542044489,0.005004685320344257,ATRT_vs_EPN_like,TMT1A,25840,Down
RP2,-2.086465797548044,0.005080578316896784,ATRT_vs_EPN_like,RP2,6102,Down
GATD3,-1.5006812380859245,0.00525131268085452,ATRT_vs_EPN_like,GATD3,8209,Down
IFT46,-2.1427609597505644,0.005298169717269224,ATRT_vs_EPN_like,IFT46,56912,Down
PLEC,-2.161954786532803,0.005307400581377741,ATRT_vs_EPN_like,PLEC,5339,Down
H1-10,-1.8544116031096465,0.005662261087853444,ATRT_vs_EPN_like,H1-10,8971,Down
SSPOP,-1.5768969453854176,0.005697485510670333,ATRT_vs_EPN_like,SSPOP,23145,Down
REEP6,-2.1576029243617327,0.005710537834865154,ATRT_vs_EPN_like,REEP6,92840,Down
RTN1,-2.9216476322751674,0.00571445172317618,ATRT_vs_EPN_like,RTN1,6252,Down
PPP3CA,-2.4283971921392116,0.00571445172317618,ATRT_vs_EPN_like,PPP3CA,5530,Down
ABI2,-1.7225901295865675,0.00571445172317618,ATRT_vs_EPN_like,ABI2,10152,Down
PITPNM1,-1.3199397738678051,0.00571445172317618,ATRT_vs_EPN_like,PITPNM1,9600,Down
VAPB,-1.2540738151659419,0.00571445172317618,ATRT_vs_EPN_like,VAPB,9217,Down
PYCR3,-1.7172896347280968,0.005784255901497203,ATRT_vs_EPN_like,PYCR3,65263,Down
PARK7,-1.2110485529330361,0.005785523382189058,ATRT_vs_EPN_like,PARK7,11315,Down
CTNNB1,-1.6086844625301246,0.005789352043466924,ATRT_vs_EPN_like,CTNNB1,1499,Down
DGLUCY,-2.5437352902989474,0.005811070129280424,ATRT_vs_EPN_like,DGLUCY,80017,Down
LYPD1,-1.3467206380059338,0.006053452489848669,ATRT_vs_EPN_like,LYPD1,116372,Down
CROCC2,-2.918389595831261,0.006164167129551876,ATRT_vs_EPN_like,CROCC2,728763,Down
SPATA33,-2.9066207985067383,0.006164167129551876,ATRT_vs_EPN_like,SPATA33,124045,Down
MAPK1,-1.803540511311514,0.006164167129551876,ATRT_vs_EPN_like,MAPK1,5594,Down
SUGP2,-1.5324261977035825,0.006164167129551876,ATRT_vs_EPN_like,SUGP2,10147,Down
ARMC3,-2.900844747065026,0.006276620155895716,ATRT_vs_EPN_like,ARMC3,219681,Down
ROPN1L,-2.1195786832009382,0.006276620155895716,ATRT_vs_EPN_like,ROPN1L,83853,Down
PPP2CB,-1.5769456076677777,0.006276620155895716,ATRT_vs_EPN_like,PPP2CB,5516,Down
ATP1A1,-2.199142262994606,0.006337285534204281,ATRT_vs_EPN_like,ATP1A1,476,Down
F11R,-1.9966314156396443,0.006337285534204281,ATRT_vs_EPN_like,F11R,50848,Down
KLC4,-1.3678537459489597,0.006337285534204281,ATRT_vs_EPN_like,KLC4,89953,Down
SELENBP1,-3.3062311353500817,0.006346557108991234,ATRT_vs_EPN_like,SELENBP1,8991,Down
