Gene,logFC,adj.P.Val,Contrast,Gene_limpo,ENTREZID,Regulation
ARHGDIB,-1.673106968595949,7.530045278386533e-4,EPN_like_vs_Glial,ARHGDIB,397,Down
PSMB8,-1.5918775710442112,8.043187739770307e-4,EPN_like_vs_Glial,PSMB8,5696,Down
LANCL1,-1.2918992406341907,8.047017976603125e-4,EPN_like_vs_Glial,LANCL1,10314,Down
HIP1,-1.7966088001676965,8.21126495794566e-4,EPN_like_vs_Glial,HIP1,3092,Down
HLA-B,-1.6057023692591237,8.21126495794566e-4,EPN_like_vs_Glial,HLA-B,3106,Down
SNTB2,-1.3342485438664795,8.21126495794566e-4,EPN_like_vs_Glial,SNTB2,6645,Down
PYGL,-2.244832074520268,8.308768478865742e-4,EPN_like_vs_Glial,PYGL,5836,Down
GGT5,-2.488416674034145,8.334130680208816e-4,EPN_like_vs_Glial,GGT5,2687,Down
SERPINA3,-1.929054794189355,8.383646258074367e-4,EPN_like_vs_Glial,SERPINA3,12,Down
RTN3,-1.1881117272881134,8.484599364681699e-4,EPN_like_vs_Glial,RTN3,10313,Down
ROCK2,-1.1485111894218676,8.484599364681699e-4,EPN_like_vs_Glial,ROCK2,9475,Down
ABHD14B,-1.0490298933887345,8.484599364681699e-4,EPN_like_vs_Glial,ABHD14B,84836,Down
SMAP2,-1.40934823216568,8.538997718092998e-4,EPN_like_vs_Glial,SMAP2,64744,Down
COMMD4,-1.0840312884866599,8.569119290175669e-4,EPN_like_vs_Glial,COMMD4,54939,Down
PTPRZ1,-2.0069673068718004,8.577572733749501e-4,EPN_like_vs_Glial,PTPRZ1,5803,Down
GIPC1,-1.1984451836671717,8.702080533730152e-4,EPN_like_vs_Glial,GIPC1,10755,Down
SLC4A4,-2.5685724073607226,9.092944106638271e-4,EPN_like_vs_Glial,SLC4A4,8671,Down
RAB6B,-1.607166306566942,9.092944106638271e-4,EPN_like_vs_Glial,RAB6B,51560,Down
RILPL1,-1.1736011440415588,9.103364483567568e-4,EPN_like_vs_Glial,RILPL1,353116,Down
PLCB1,-1.7768945236556561,9.406558890113852e-4,EPN_like_vs_Glial,PLCB1,23236,Down
MAP3K5,-1.1785861969063411,9.624937707577187e-4,EPN_like_vs_Glial,MAP3K5,4217,Down
NDRG3,-1.1887479957038458,9.979490966292419e-4,EPN_like_vs_Glial,NDRG3,57446,Down
NPEPPS,-1.0103319714275116,0.001013876018754629,EPN_like_vs_Glial,NPEPPS,9520,Down
ASL,-1.3151013914625125,0.0010334291233129124,EPN_like_vs_Glial,ASL,435,Down
ANKFY1,-1.1031401855389618,0.0010569155071146526,EPN_like_vs_Glial,ANKFY1,51479,Down
CC2D1A,-1.6728932638862481,0.001068989962084576,EPN_like_vs_Glial,CC2D1A,54862,Down
GLUL,-3.078185589795222,0.0010740276610494376,EPN_like_vs_Glial,GLUL,2752,Down
FCGR3A,-1.2993814233078567,0.001134670339205042,EPN_like_vs_Glial,FCGR3A,2214,Down
PARVA,-1.1426689426165737,0.0011366744002830732,EPN_like_vs_Glial,PARVA,55742,Down
PEBP1,-1.2434252926236375,0.0011633756705952578,EPN_like_vs_Glial,PEBP1,5037,Down
TUBB2B,-2.25917943511433,0.001171892012258307,EPN_like_vs_Glial,TUBB2B,347733,Down
TUBB2A,-1.8370445682617742,0.001175295577648131,EPN_like_vs_Glial,TUBB2A,7280,Down
EHD2,-1.613079727815034,0.0011848600838268298,EPN_like_vs_Glial,EHD2,30846,Down
SLC1A2,-3.1354749109678615,0.0012044607961309414,EPN_like_vs_Glial,SLC1A2,6506,Down
SERPINB1,-1.502509832708892,0.0012631413696271492,EPN_like_vs_Glial,SERPINB1,1992,Down
PGPEP1,-1.4802285113973426,0.0012678286889215662,EPN_like_vs_Glial,PGPEP1,54858,Down
ITGB8,-1.1872284261797859,0.0012724706261393033,EPN_like_vs_Glial,ITGB8,3696,Down
ME1,-1.8805706529146313,0.0012917089933375699,EPN_like_vs_Glial,ME1,4199,Down
FHL3,-1.1813401227856168,0.0012917089933375699,EPN_like_vs_Glial,FHL3,2275,Down
NF1,-1.0004076354702462,0.0013760133405621897,EPN_like_vs_Glial,NF1,4763,Down
TWF2,-1.0170822623793363,0.0013892141686619014,EPN_like_vs_Glial,TWF2,11344,Down
MYO1F,-1.32673046551551,0.0013902811448821939,EPN_like_vs_Glial,MYO1F,4542,Down
TIGAR,-1.3540426682891251,0.001399851203194333,EPN_like_vs_Glial,TIGAR,57103,Down
SH3KBP1,-1.1871577455511826,0.001399851203194333,EPN_like_vs_Glial,SH3KBP1,30011,Down
ILK,-1.2091038925172413,0.0014458387094359306,EPN_like_vs_Glial,ILK,3611,Down
