Gene,logFC,adj.P.Val,Contrast,Gene_limpo,ENTREZID,Regulation
DDAH2,-2.760811545756404,2.119790453617525e-5,ATRT_vs_MB,DDAH2,23564,Down
CBX8,-1.620491923695603,2.119790453617525e-5,ATRT_vs_MB,CBX8,57332,Down
KIF21B,-2.1238832144784645,2.2325184749462636e-5,ATRT_vs_MB,KIF21B,23046,Down
DHX8,-1.3795712171573946,2.5868412215066586e-5,ATRT_vs_MB,DHX8,1659,Down
POGZ,-1.611841150716792,3.212854743178254e-5,ATRT_vs_MB,POGZ,23126,Down
ELAVL2,-2.613798026338703,3.260346103141174e-5,ATRT_vs_MB,ELAVL2,1993,Down
TCF4,-3.092673561921556,3.6852229449164095e-5,ATRT_vs_MB,TCF4,6925,Down
KAT7,-1.7084352362336261,3.6852229449164095e-5,ATRT_vs_MB,KAT7,11143,Down
ZNF638,-1.5100076331824077,3.6852229449164095e-5,ATRT_vs_MB,ZNF638,27332,Down
HDGFL3,-2.8069274384942453,3.815088897081804e-5,ATRT_vs_MB,HDGFL3,50810,Down
RALYL,-3.653713153695392,3.992007428833605e-5,ATRT_vs_MB,RALYL,138046,Down
ZNF608,-3.0219904090373593,4.114652319448183e-5,ATRT_vs_MB,ZNF608,57507,Down
RIOX2,-1.8452421155956031,4.2419551759555066e-5,ATRT_vs_MB,RIOX2,84864,Down
MBD1,-1.8754012047549828,4.271409753832041e-5,ATRT_vs_MB,MBD1,4152,Down
ZNF574,-3.0582706364342744,4.3290654602116016e-5,ATRT_vs_MB,ZNF574,64763,Down
MEN1,-2.158712460172719,4.333154789060371e-5,ATRT_vs_MB,MEN1,4221,Down
LSM14B,-1.7988401427325762,4.333154789060371e-5,ATRT_vs_MB,LSM14B,149986,Down
FBLL1,-2.134168513916425,4.4687040821394226e-5,ATRT_vs_MB,FBLL1,345630,Down
DNAJC9,-1.4680939630050673,4.66911477812936e-5,ATRT_vs_MB,DNAJC9,23234,Down
HIRA,-1.5075575632669604,4.695650065700426e-5,ATRT_vs_MB,HIRA,7290,Down
CXXC5,-2.1591751852262036,4.8582204864708446e-5,ATRT_vs_MB,CXXC5,51523,Down
ATRX,-1.5895681309657057,5.2374338437549914e-5,ATRT_vs_MB,ATRX,546,Down
ARID1B,-3.0887288480047648,5.268456623084673e-5,ATRT_vs_MB,ARID1B,57492,Down
ZNF609,-2.8753316504169586,5.299154341283826e-5,ATRT_vs_MB,ZNF609,23060,Down
DBN1,-2.4698324835293093,5.299154341283826e-5,ATRT_vs_MB,DBN1,1627,Down
DNMT3A,-1.5290191235849377,5.352114991605625e-5,ATRT_vs_MB,DNMT3A,1788,Down
C5orf24,-3.059191483512384,5.391206621816043e-5,ATRT_vs_MB,C5orf24,134553,Down
GTPBP1,-1.7616594461074122,5.680608037982474e-5,ATRT_vs_MB,GTPBP1,9567,Down
ZC3H18,-1.2331139997941705,5.680608037982474e-5,ATRT_vs_MB,ZC3H18,124245,Down
PHF21A,-3.155417958507204,5.900743830885827e-5,ATRT_vs_MB,PHF21A,51317,Down
ZNF629,-3.225924610090088,5.937930312439246e-5,ATRT_vs_MB,ZNF629,23361,Down
