Gene,logFC,adj.P.Val,Contrast,Gene_limpo,ENTREZID,Regulation
B4GAT1,-1.8327586268200768,2.5679470470358967e-4,MB_vs_EPN_like,B4GAT1,11041,Down
ATP1A2,-3.42133013365509,2.5765679849355983e-4,MB_vs_EPN_like,ATP1A2,477,Down
MPC2,-1.5443233909417877,2.5765679849355983e-4,MB_vs_EPN_like,MPC2,25874,Down
TOMM34,-1.2082030684793423,2.5864361180864625e-4,MB_vs_EPN_like,TOMM34,10953,Down
ABCB6,-1.589364246101308,2.6419994832748073e-4,MB_vs_EPN_like,ABCB6,10058,Down
ZMYND10,-1.7584663561304978,2.738806542901239e-4,MB_vs_EPN_like,ZMYND10,51364,Down
SPATA33,-2.733352027273151,2.7932253280261895e-4,MB_vs_EPN_like,SPATA33,124045,Down
ARMC3,-2.7282393867435797,2.8844790778513374e-4,MB_vs_EPN_like,ARMC3,219681,Down
WDR35,-1.2651851117233939,2.9169222692508823e-4,MB_vs_EPN_like,WDR35,57539,Down
NDRG2,-3.1090503165393955,3.090972650427739e-4,MB_vs_EPN_like,NDRG2,57447,Down
GLUD1,-2.340655109012353,3.090972650427739e-4,MB_vs_EPN_like,GLUD1,2746,Down
SPAG6,-2.0383362493575703,3.090972650427739e-4,MB_vs_EPN_like,SPAG6,9576,Down
ACADVL,-1.1390621446578386,3.1221338315010614e-4,MB_vs_EPN_like,ACADVL,37,Down
CDH2,-1.6092246763090507,3.14017351553608e-4,MB_vs_EPN_like,CDH2,1000,Down
GNB2,-1.8648671843357931,3.1829922360904715e-4,MB_vs_EPN_like,GNB2,2783,Down
CROCC2,-2.7115788683120527,3.1992681015783524e-4,MB_vs_EPN_like,CROCC2,728763,Down
VWA5A,-1.9064223540519407,3.1992681015783524e-4,MB_vs_EPN_like,VWA5A,4013,Down
MBOAT7,-1.497564634608942,3.2162509148934754e-4,MB_vs_EPN_like,MBOAT7,79143,Down
CETN2,-2.2451347555003736,3.232671472006781e-4,MB_vs_EPN_like,CETN2,1069,Down
DTHD1,-2.7309573437080417,3.351960396369449e-4,MB_vs_EPN_like,DTHD1,401124,Down
AK7,-2.530716467386135,3.37532336987966e-4,MB_vs_EPN_like,AK7,122481,Down
WDR54,-1.8288747517814308,3.3798592457740315e-4,MB_vs_EPN_like,WDR54,84058,Down
MAPK1,-1.6616616827770159,3.5039161637914876e-4,MB_vs_EPN_like,MAPK1,5594,Down
ETFB,-1.334451230414885,3.5438123066918966e-4,MB_vs_EPN_like,ETFB,2109,Down
PCYT2,-1.6364089653886005,3.547943405449071e-4,MB_vs_EPN_like,PCYT2,5833,Down
RAB36,-2.661084060912133,3.629910438523281e-4,MB_vs_EPN_like,RAB36,9609,Down
PTGR1,-1.6478652656887967,3.7106386006730544e-4,MB_vs_EPN_like,PTGR1,22949,Down
ADD3,-2.2947454349144785,3.722700970256943e-4,MB_vs_EPN_like,ADD3,120,Down
COMT,-1.2350934865475445,3.7300297696095445e-4,MB_vs_EPN_like,COMT,1312,Down
FLNB,-1.9626674847806775,3.7530983651690473e-4,MB_vs_EPN_like,FLNB,2317,Down
SOX2,-1.4421270902927716,3.7603124020997575e-4,MB_vs_EPN_like,SOX2,6657,Down
IFT56,-1.2564215060100707,3.795612271522172e-4,MB_vs_EPN_like,IFT56,79989,Down
LRRC46,-2.7186042077906336,3.815768664274049e-4,MB_vs_EPN_like,LRRC46,90506,Down
HEATR5A,-1.711417194292956,3.815768664274049e-4,MB_vs_EPN_like,HEATR5A,25938,Down
OSCP1,-1.805461827727754,4.0447352542858e-4,MB_vs_EPN_like,OSCP1,127700,Down
CCDC170,-2.4740450004988315,4.113940227926118e-4,MB_vs_EPN_like,CCDC170,80129,Down
STX4,-1.235388954296738,4.113940227926118e-4,MB_vs_EPN_like,STX4,6810,Down
DNAH9,-2.6817025324383668,4.336128430907727e-4,MB_vs_EPN_like,DNAH9,1770,Down
MAVS,-1.2866959672182965,4.659204263687367e-4,MB_vs_EPN_like,MAVS,57506,Down
SPART,-1.4823615376606831,4.678798792708648e-4,MB_vs_EPN_like,SPART,23111,Down
ROPN1L,-1.8955804664666438,5.067600444509993e-4,MB_vs_EPN_like,ROPN1L,83853,Down
MTARC2,-1.815924230222187,5.067600444509993e-4,MB_vs_EPN_like,MTARC2,54996,Down
IFT74,-1.5779769116967728,5.067600444509993e-4,MB_vs_EPN_like,IFT74,80173,Down
GOLM1,-1.4465064223318578,5.148539996112748e-4,MB_vs_EPN_like,GOLM1,51280,Down
CPNE2,-1.9588525673610633,5.286778316781212e-4,MB_vs_EPN_like,CPNE2,221184,Down
EFNB2,-1.32745723592992,5.371132992488012e-4,MB_vs_EPN_like,EFNB2,1948,Down
LAMP2,-1.4566166195446364,5.400758543760154e-4,MB_vs_EPN_like,LAMP2,3920,Down
EPHX1,-1.9092260147109066,5.527079220620104e-4,MB_vs_EPN_like,EPHX1,2052,Down
ATP1B2,-2.0175525855700194,5.59794344712195e-4,MB_vs_EPN_like,ATP1B2,482,Down
