Gene,adj.P.Val_ANOVA,Max_Delta_Log2,logFC,adj.P.Val
BCCIP,1.02013739910977e-56,2.584091488072694,1.4527669768081637,4.977375667514926e-5
DCAF7,2.0521495998246742e-62,1.107055059305548,1.107055059305548,4.991680824669154e-5
TMBIM1,1.8338570628565084e-55,1.7455192288088028,-1.7455192288088028,5.060522810819069e-5
SLC25A15,2.5002653533259303e-55,1.9966716263754805,1.3971777695414538,5.0740208868676016e-5
PRAME,1.9219732766157685e-48,4.266203421152795,2.16756137187528,5.144059137804401e-5
RRAGA,9.207282259609457e-60,1.5505370686057773,-1.3054170562980545,5.144059137804401e-5
PHGDH,5.97920002641187e-48,3.8287100919743082,-2.9922464028813494,5.145544970258991e-5
VPS13D,8.637036967380885e-58,1.2374895606415457,-1.2374895606415457,5.145544970258991e-5
PANX1,2.2228217783195465e-56,1.477466213287638,1.477466213287638,5.155362971265831e-5
NAA25,9.701130586490797e-62,1.0767286382775474,1.032841211264465,5.19219718362027e-5
ERAP1,3.3949511271851464e-56,1.692036361767034,-1.6512528576602286,5.2379998539837426e-5
LAMTOR4,1.2133586875723855e-60,1.2499926145481268,-1.2499926145481268,5.301467820391009e-5
TRIP6,1.6684181055293093e-60,1.1998317337190478,-1.1419102359515314,5.30753927916845e-5
COASY,4.959364402978736e-61,1.2034457602344268,-1.1919890274768932,5.3315771975404906e-5
EXOSC4,2.705457494138788e-62,1.132457650287634,1.038201187612323,5.3818361068031524e-5
INTS9,1.4160630696324215e-60,1.2934592260144626,1.1177660690509796,5.447914983503147e-5
ADGRL3,1.8678542652234733e-55,1.5617600211103984,-1.5617600211103984,5.5148998721167346e-5
PTPN11,9.512997019376615e-63,1.9930823704926404,-1.0888943326512965,5.567715003803389e-5
SARM1,4.523070624936878e-58,1.5314093219579306,1.3717659310622032,5.576816448227746e-5
BANP,2.976593306855389e-55,1.3872193888902729,1.3338104969284394,5.6569404461419116e-5
PRKAA1,1.8779590816494928e-63,1.0141249902176739,-1.0141249902176739,5.658819312603476e-5
SMUG1,8.199386959953203e-61,1.1881421599499689,1.017917739665286,5.688473596165089e-5
TLE3,2.5370678938876275e-55,2.114143497222109,1.5518655690005438,5.8603563908162523e-5
CPT1A,1.5385804021172312e-50,2.7186723955796097,-2.3013415964929926,5.906756809027912e-5
NAT10,6.8715798382307915e-62,1.4570881307370556,1.0489797175753388,5.939312968609695e-5
COMMD4,1.3260622529717577e-60,1.163909926346193,-1.163909926346193,5.984606740341256e-5
PDE1C,4.9546633555919087e-54,1.796177287010643,1.7926875306654857,5.997869892206172e-5
SLC27A1,3.648164621968253e-54,1.9096117639436194,-1.8179381213574217,6.04441951985204e-5
SLC12A9,1.4351171180081297e-59,1.5045346046464871,-1.208817573211764,6.0820931557224545e-5
PEX5L,1.1095759358268365e-46,2.4066798625433528,2.283321622483161,6.107335526032488e-5
ARL6IP4,6.335515339272831e-58,1.228801048100646,1.228801048100646,6.113489554808254e-5
TYMS,8.126524883978155e-59,1.5862333045056403,1.268415038788035,6.135225864587362e-5
PYCR3,3.4477013238884025e-58,1.8227682005103034,-1.363527730560108,6.167957052770409e-5
BZW2,1.2795514852880548e-54,2.0509803809146447,1.7090035276768134,6.197680208796188e-5
ACYP1,4.897266224674652e-56,2.083324339323301,1.684348510446874,6.42491433354578e-5
GLUL,6.8203351748188165e-46,3.907860215927851,-3.3603858697080966,6.510504059688499e-5
RRP1B,2.4773516263990716e-59,1.327254491482563,1.1914181478347707,6.608477014763104e-5
FABP7,9.08518456756275e-49,3.2928493370025578,-2.9033220240424455,6.654827666175319e-5
MAP2K1,1.1479270034184096e-55,1.6379239735098068,-1.6379239735098068,6.662552949934885e-5
NOC3L,1.1797553608546641e-61,1.0447300932957901,1.0447300932957901,6.711744630840479e-5
COG2,2.2806563872543238e-58,1.2187139501806712,1.2187139501806712,6.741767491427073e-5
POLR3F,1.391359187334586e-59,1.1239318859134144,1.1239318859134144,6.80611139266804e-5
NUP98,2.410748901322635e-61,1.0560800876759942,1.0560800876759942,6.891969380922406e-5
NCAM2,5.323499700020835e-50,3.2090117384876855,-2.3995484189653276,6.942835913621217e-5
HEATR5A,2.3045229882407917e-55,1.711417194292956,-1.4881906301270256,6.952012118437003e-5
