Gene,adj.P.Val_ANOVA,Max_Delta_Log2,logFC,adj.P.Val
PBX1,3.6324537203978414e-57,1.6098309887791906,-1.6098309887791906,0.011549540679901703
CKB,2.2546506983963336e-50,3.1107772659356385,-3.1107772659356385,0.01156075347151055
NDRG1,4.354761705527853e-52,2.7883182064117236,-2.5306581443424747,0.01156075347151055
RBMS1,1.5745214096107464e-59,1.351359838825669,1.351359838825669,0.01156075347151055
SEC24D,1.2066924594155493e-60,1.3210099476114046,1.3210099476114046,0.01156075347151055
TBL2,2.838125572888362e-61,1.267324563822104,1.267324563822104,0.01156075347151055
EIF4A1,9.126688447933099e-64,1.2176943178428772,1.2176943178428772,0.01156075347151055
S100A11,6.00517853774906e-51,2.762154107863168,2.7511102568974337,0.011592656612685017
PUM3,2.797944431299787e-59,1.6208658902553807,1.4169730059541266,0.011592656612685017
PSAT1,1.0580776243995786e-52,4.3462392273680095,-2.613592302600324,0.011744340162164458
SMPD2,1.7813333418013441e-50,2.040812172653524,-2.040812172653524,0.011808819496690763
SYNGR2,8.512435672404079e-55,2.044565390439786,1.8533771450134005,0.011878899002108739
MCM4,3.033552031703546e-63,2.3269927267604764,1.1294147393317395,0.011878899002108739
HSPA2,2.0606557485650487e-48,4.2619783467930255,-3.1615806184473456,0.011929505964291726
CCDC71,2.015531726488511e-62,1.0978723669963166,1.0978723669963166,0.011980081650652195
UFC1,1.7840998968445374e-64,1.4179483050769015,-1.1336292161454473,0.012079838521531477
ATXN2,6.293849322069086e-63,1.0956361499180396,-1.0956361499180396,0.012079838521531477
DNAH5,2.712124071112698e-43,2.9257224077094364,-2.9257224077094364,0.012143995269958513
P4HA2,8.15346103046658e-58,1.664019012856496,1.5543012586054736,0.012188410184356863
STX2,1.7441788518573952e-53,1.9170582948563784,-1.9170582948563784,0.012438099607768533
BMS1,2.329463832344522e-61,1.666773609188045,1.1456061983222199,0.01272281553269341
CDK2AP1,1.7702327792192801e-59,2.1692830393620177,-1.3975249752169425,0.012787616704988689
DDX47,5.897418477148743e-60,1.4860711620639577,1.2942586626928119,0.012808515788905673
WDR48,2.756908096364655e-61,1.7022925597611902,-1.2731875888870654,0.012808515788905673
CCNH,3.7483916400552756e-61,1.571616601548751,1.1487796313480843,0.012879696853918656
CRMP1,5.1472207703484996e-52,4.426744318458081,-2.5554045798437848,0.012966775312729434
CD59,1.1734335074759261e-52,3.3892984845091156,-2.4384951567873827,0.012966775312729434
MCM3,9.600595828617835e-58,3.5928351001371013,1.5974721382632424,0.012966775312729434
ADI1,1.5602083022370824e-58,1.482883439049477,1.482883439049477,0.012966775312729434
UTP20,5.3348723212471194e-58,1.8112568225546575,1.4524039670325486,0.012966775312729434
CTPS1,2.0419239289673696e-60,2.0986092268451593,1.3849447050193078,0.012966775312729434
ARMC10,1.3927012619694282e-60,1.343042951115578,-1.343042951115578,0.012966775312729434
ENAH,3.6468288236061496e-58,1.565755097234515,-1.565755097234515,0.013038105433714387
MYH9,8.154197634615357e-59,1.617051831384213,1.617051831384213,0.01317648717056606
AKR7A2,6.269546848534134e-63,1.299190158100064,-1.299190158100064,0.01317648717056606
IREB2,8.108733573851573e-57,1.5719280801209266,1.4473204026366169,0.013218452953099176
CYRIA,3.990544476150902e-57,3.076659085977685,-1.7326628926882037,0.013251811505997664
BROX,2.9831528509364687e-62,1.5378967236503414,-1.2694354556261338,0.013252109261985721
GPR180,3.435875721988741e-57,1.4102311612086673,1.4096291269661343,0.01337198305240069
CLN6,5.529335590798446e-52,2.126129206359547,1.7911249071402509,0.0135528608328004
TBC1D17,3.945603887420422e-61,2.029069074903802,-1.274688868184711,0.0135528608328004
PPIC,1.3665435861653042e-61,2.151150110517939,1.244118491212383,0.013595285566263776
PPP1R9B,1.0634154160428781e-56,1.6151828609349685,-1.6151828609349685,0.013608508863746432
PALD1,7.377756568828302e-58,1.5249882909969408,-1.5249882909969408,0.013664782647729292
RRAGA,9.207282259609457e-60,1.5505370686057773,-1.4342576059345973,0.013819707592641322
MCM2,2.582993909477488e-60,3.0925660646705815,1.368033702870136,0.013819707592641322
RIF1,2.9642436023531778e-59,2.073437360379831,1.157360518373352,0.013819707592641322
STK33,9.840555985850553e-55,1.7717909788429935,-1.7717909788429935,0.013926655239004389
MOCS3,9.215882511988673e-64,1.0791715484140738,-1.0223442429552705,0.013938898888843254
HSD17B11,2.851006677816469e-54,2.0120372914530513,2.0120372914530513,0.013946749998663925
CFAP298,9.593100885462432e-56,1.6496242560888668,-1.6496242560888668,0.013946749998663925
UTP15,5.148658316979439e-57,1.4952825543796031,1.4952825543796031,0.013946749998663925
METAP1,5.977946156046406e-60,1.3244443619601114,1.3244443619601114,0.013946749998663925
PLOD3,1.221625958893225e-56,1.9457274637414237,1.697044377418088,0.013985318196521877
CDC27,3.776066596753657e-62,1.058924562556978,1.0221704556231828,0.013985318196521877
IGLV3-19,4.2041266990802015e-52,2.3924513037033392,2.3924513037033392,0.014122805882006264
TCEAL3,2.0044895794795967e-52,2.187278913653035,-2.187278913653035,0.014122805882006264
PLCD1,1.0711027356669268e-51,3.2328663438956866,-2.4773181581410384,0.014320870243629462
DHX37,6.072170017071257e-60,1.7232126149951412,1.1829388320339014,0.014320870243629462
ARPC1A,2.1229812256729407e-65,1.4400618657032709,-1.0198035450763392,0.014482587191375454
STBD1,1.2685643853655436e-60,1.2421549156959522,1.2421549156959522,0.014609558566223306
RBP1,7.545449080000563e-47,3.4570278081340042,-3.4570278081340042,0.014647080262412166
FIS1,3.1109873782494164e-64,1.1185238146420247,-1.1185238146420247,0.014647080262412166
SCRN2,1.0122932207227163e-56,1.7373520397886075,-1.6521462359841337,0.014846099488260501
ARIH2,1.4988476885211416e-54,2.19452745735898,1.6327415724974053,0.014846099488260501
MACROH2A1,3.6100381659138116e-61,2.009035200841975,-1.4129779783477048,0.014967521330758115
DYNLRB1,4.943087135350994e-54,1.9943767052769168,-1.9943767052769168,0.015041952134251814
DNAAF3,6.85273347273896e-51,2.0828631031240725,-2.0828631031240725,0.015199284105804893
