Gene,adj.P.Val_ANOVA,Max_Delta_Log2,logFC,adj.P.Val
CNP,2.1605052051934644e-57,3.2877534745090315,-3.2877534745090315,1.2620047120199668e-6
MALT1,7.425895724309169e-58,2.5725029581488776,2.5725029581488776,1.3076916965236408e-6
PITPNA,1.3882044735566347e-62,2.384533553126513,-2.2531429915147747,1.3259587384789469e-6
STAM2,1.4211656364581952e-65,1.6412839769485394,-1.6412839769485394,1.4172636614128802e-6
MINDY1,4.738067128168211e-64,1.7906352819184583,-1.7906352819184583,1.4522797827461231e-6
MAOB,1.634854336541781e-49,5.508988354174061,-5.508988354174061,1.4714813488168675e-6
GNG12,1.0788957696586989e-57,3.1634707785481524,-3.1634707785481524,1.4990059981508086e-6
PRAME,1.9219732766157685e-48,4.266203421152795,4.266203421152795,1.736327814397512e-6
GNAQ,2.9853061440749547e-59,2.8034377177250533,-2.8034377177250533,1.7421225774480894e-6
CYRIA,3.990544476150902e-57,3.076659085977685,-3.076659085977685,1.7799973819993437e-6
DPYSL3,8.024924798536375e-57,3.5838705149973755,-3.5838705149973755,1.856057595874666e-6
SLC25A19,1.324537070995327e-51,3.2980646091483266,3.2980646091483266,1.9178945817754206e-6
GALNT4,3.02898568224895e-52,3.3808616799949505,3.0647857555340607,1.9178945817754206e-6
MAPK1,1.232082283344124e-59,2.853930807288222,-2.853930807288222,1.920786616327193e-6
PREX1,1.0470111587173138e-57,2.8107142429475935,-2.8107142429475935,1.920786616327193e-6
TFRC,1.9451244201313638e-50,4.582622130253313,4.582622130253313,1.9933307420708018e-6
USP46,9.74212464605094e-61,2.243048185129741,-2.243048185129741,2.1946135409516535e-6
SOAT1,1.0705042083225681e-45,4.542881436013936,4.330875901636505,2.3115154378285966e-6
ABI1,5.360056757636773e-64,1.8792877426234256,-1.8792877426234256,2.557286097251251e-6
MAP1B,6.9038872765009655e-56,3.450675913251196,-3.450675913251196,2.568746109180515e-6
SLC44A2,1.0426179719618717e-56,3.174542743045098,-3.174542743045098,2.568746109180515e-6
MSH6,1.5180883744090746e-63,2.8691872000521705,1.8760495448600487,2.8497811820033622e-6
PIP5K1C,8.424576346329884e-56,3.037738882527808,-3.037738882527808,2.8663402776026973e-6
PPIC,1.3665435861653042e-61,2.151150110517939,2.151150110517939,2.8883124813984238e-6
VWA5A,8.64964098195653e-56,3.156675717425383,-3.156675717425383,3.1363384411045526e-6
TMT1A,7.55688179110249e-55,3.695106304479868,-3.695106304479868,3.278644910270529e-6
PRKCA,1.5429564516033482e-54,4.350074509973524,-3.6501797183045355,3.373703702636943e-6
METTL17,3.585303086750985e-49,3.3637074798861004,3.3637074798861004,3.6080703293077792e-6
