Gene,adj.P.Val_ANOVA,Max_Delta_Log2,logFC,adj.P.Val
FUS,9.403886573472974e-63,1.8669875150495336,1.0787532664940755,0.0027684748412123554
PBRM1,4.816730967927282e-61,1.4871267450742565,1.0202028186151146,0.002773001692832345
EPB41L2,6.42805853171047e-57,3.665702683544879,-1.5620729644538756,0.0027835819950688626
CACNA2D1,2.6051863478065927e-49,4.794159464011766,2.334616616473056,0.002801037642201551
TUBB3,3.7311223440447586e-47,3.861783812404166,2.9636044289938823,0.002806532179032269
EMG1,6.740241943864551e-56,2.118683134734077,1.318682383731467,0.002824364826888966
HNRNPA1,2.127317451551359e-62,1.9688895644178288,1.188212258674163,0.0028309670997939476
TTC8,4.6299083721268044e-57,1.3591958386665048,-1.1826453697899773,0.0028526319604154555
NONO,1.6168248180034236e-63,1.7315649470509733,1.0060304319823707,0.0028539740125097237
MAPRE2,1.2905231592195113e-57,2.618096510185751,1.4309580235389063,0.0029779013550600896
PEA15,4.982110348259299e-56,3.7273502228436826,-1.6191108004934804,0.0029908223279302326
WLS,1.2006596474553696e-52,1.9165223352918161,-1.9165223352918161,0.003014942948657028
POLR3C,2.948634091517576e-58,1.2279883413539316,1.1117000284741572,0.003028524878756533
RFX1,5.801017191183313e-58,1.657675649215605,1.159860858298515,0.003030486131147449
RIDA,2.4805995482902508e-52,3.25266037239885,-2.1401297403648734,0.0031067545530436558
SRRT,2.722016693857636e-61,1.8501522151276468,1.0763882070946025,0.0031300412568403234
GAR1,9.599787227636384e-62,1.282889163575522,1.0487592031899844,0.0031345170838613257
INTS10,1.203447277660539e-58,1.6803444719806109,1.0472253137430698,0.0031345170838613257
SCD5,9.903286679964171e-55,4.6683108822463915,-1.6811525719802454,0.0031484782054987445
HAT1,1.0696964857931126e-60,1.8366249621310367,1.1186132915302593,0.003219492129723508
ODF2,3.895881193044327e-55,1.4297207114552108,-1.4297207114552108,0.0032212522485908406
PPP1R12B,3.645682511925969e-57,1.5137063154027075,-1.2178635668718911,0.003226173401693242
RAP1GAP2,2.545246669890591e-52,1.690286927625241,1.690286927625241,0.003245952390900562
CNTFR,9.097281862866653e-55,1.6328670175647169,-1.6328670175647169,0.003256613729490872
UNC119B,4.7164544312718105e-54,2.3444314485502105,-1.6704375355670606,0.0032699223734272216
EBNA1BP2,2.463730477204897e-61,1.5338888814474103,1.046702126281005,0.003296893607314831
HKDC1,2.6451686172856967e-54,1.7370401679778489,-1.5207853582567274,0.0033175149184427027
SMPD3,7.405110612703156e-54,1.5041229109202554,1.4527673247993995,0.0034212837517361835
ISYNA1,9.158788510160964e-58,1.6444697869267912,-1.4246712963528658,0.003458141219700176
ITM2C,2.730179976018383e-57,3.9303602662592816,-1.3975891722242366,0.003458141219700176
ATL2,4.910426264581926e-58,1.382830059982041,1.2116380106767437,0.003461833972363496
RRAGA,9.207282259609457e-60,1.5505370686057773,-1.1891375936268744,0.003501980498651263
P3H3,5.130531518337228e-56,3.5375671418100083,1.2926720574250936,0.003518452935544443
YWHAG,3.593545752398147e-58,1.431327141255462,1.431327141255462,0.0035232573923874026
EXOSC6,1.6887521648892668e-60,1.0569174604446232,1.0569174604446232,0.0035232573923874026
MALT1,7.425895724309169e-58,2.5725029581488776,1.1687496034382647,0.0035542493318454042
ALDH4A1,1.8252746174271772e-54,2.4863476258486408,-1.7315410429564295,0.0035870669345746987
PLCD1,1.0711027356669268e-51,3.2328663438956866,-2.059369275496781,0.003609727814084532
SPTBN1,8.215713956268028e-59,3.0885570383177026,-1.3742134389483383,0.003609727814084532
PRAME,1.9219732766157685e-48,4.266203421152795,1.9671286654219813,0.0036125252422955266
MLIP,1.063946269516359e-53,1.7038684020583759,-1.506318412747369,0.003630438455141567
STX2,1.7441788518573952e-53,1.9170582948563784,-1.5563505879113144,0.00363208727659706
PANX1,2.2228217783195465e-56,1.477466213287638,1.3399396302802664,0.003638949593321882
MDC1,5.355847932016167e-60,1.5902813665109434,1.0417708689973217,0.003638949593321882
NES,5.224346168935892e-51,3.463076439718712,-2.1441104874840846,0.0036671807524751724
PDE1C,4.9546633555919087e-54,1.796177287010643,1.6413793226317175,0.0036766816180931095
DCAF16,3.1111831497659176e-57,1.4578003544146725,1.0635829563628256,0.0037748353164781274
MYORG,8.628634096282385e-51,1.8892250492215865,-1.6896215667239751,0.0037857456178086958
ROR2,3.2398501457042068e-55,1.5673183885417785,-1.3646517778473033,0.0038624069521215206
ANXA1,6.370846329704477e-49,2.6422327160524084,-2.6422327160524084,0.003904823296436452
POMK,3.91975388922791e-53,1.7267575772490424,1.4854371871242975,0.003920991134867301
LSM7,1.1726993168992785e-61,1.3461734970064612,1.080984535982168,0.003920991134867301
PPP1R18,2.7231243960791696e-56,1.2911874446254146,1.2911874446254146,0.003979890954588278
TXNDC5,1.774123794926359e-55,2.5417518049220647,1.609503148063844,0.004039649899625972
AHNAK,2.683759928500712e-56,1.5328749575284277,-1.5328749575284277,0.004120578865886129
USP8,3.0914077845853436e-60,1.8930917320994958,-1.0591200378825327,0.004120578865886129
DUSP12,1.673806539628225e-59,1.8080720170661202,1.0129381121674221,0.004120578865886129
GDPD1,5.72050288406321e-57,1.3175241953112824,1.3175241953112824,0.00417801539334891
DNAL1,2.5893310002719878e-52,1.7379269491636364,-1.5713008242785378,0.004227827153350011
TTC19,9.633666623349174e-58,1.591721117761626,1.1723186413662923,0.004273447331453964
CDC42EP4,1.1160893632255328e-50,3.1730951603095114,-2.0150550326006353,0.004469490113211022
SRD5A3,3.2137175685012536e-58,1.8643180603860259,1.0181708844629718,0.004484521972126551
RSL1D1,1.058726698135204e-57,1.6155102569167568,1.296475333526793,0.004538995205812083
CBR1,1.3785869173577524e-57,3.4664881401453833,-1.5408180110171088,0.004553809801898977
UTP15,5.148658316979439e-57,1.4952825543796031,1.205617475386461,0.004553809801898977
MTCH2,6.811487547086612e-61,1.136898813405594,-1.1357159143333462,0.004618623277564041
