Gene,adj.P.Val_ANOVA,Max_Delta_Log2,logFC,adj.P.Val
TRIM24,1.2771915870921991e-61,2.1195440771413985,-1.40519285797577,9.334903748894515e-4
TOR1B,1.9678888679508758e-58,1.883408649418623,1.783145801936275,9.491666447144573e-4
DCAF1,7.899097940949352e-64,1.6382687880664726,-1.23813596901892,9.491666447144573e-4
SIL1,1.9900688588849612e-61,1.5727296994091873,1.5727296994091873,9.689736535758955e-4
SRSF8,9.709705602514009e-58,2.4941587200567614,-1.5867485904646657,9.696082887398197e-4
MAPRE2,1.2905231592195113e-57,2.618096510185751,-2.185272748477601,0.0010005997724120783
PITPNA,1.3882044735566347e-62,2.384533553126513,-1.5963949305522789,0.001006475892327363
RING1,1.4376706149045628e-60,1.6328466340183532,-1.6328466340183532,0.0010145763626983005
PRKACB,7.230075075224546e-57,2.2111997096568707,-2.1832760647328726,0.001016799448767576
ZBTB14,2.0692207343457168e-60,1.4714790314841366,-1.4691414695482194,0.001016799448767576
IRF2BP1,4.296528632955612e-62,1.3790154388133473,-1.3790154388133473,0.001016799448767576
MBOAT7,4.8523561298177026e-60,1.8479359531391637,1.8479359531391637,0.0010278499965448939
MED1,2.7187204231298938e-65,1.6287042692707274,-1.1234410757534583,0.0010385354509771945
CDKN1B,1.607953821276324e-51,3.0174831342313215,-2.6487908988854887,0.0010615971896864205
PTEN,1.3102165590862192e-58,1.7367376800969936,-1.7367376800969936,0.0010755119635917263
DHPS,1.0529774972687695e-60,1.9252210671478984,-1.486938912014626,0.0010755119635917263
JPT1,3.222598925743586e-57,2.133358436568102,-2.0278335540511954,0.0010770189103506648
PRUNE1,1.640687484658247e-61,1.564560064101137,-1.564560064101137,0.0010851521931884616
KLC4,4.4775793036016925e-61,1.5644945391696439,-1.5644945391696439,0.0010902231216674094
YTHDC1,1.757372938876207e-66,1.53064182219153,-1.1093140262791508,0.001095088055670498
HMG20A,6.09811765732263e-62,1.7001674825943702,-1.4522009986504898,0.0011036087014528522
SMC1A,2.127317451551359e-62,1.9644092329425114,-1.484459428570176,0.0011205941969626343
GTF3C4,1.1926331952157006e-64,1.3493090418163263,-1.2736032621437587,0.0011212896451632621
RANBP1,8.458249048767209e-68,1.1126239781163143,-1.1126239781163143,0.0011265899395649264
STMN1,4.590685929740862e-52,3.2869029397130802,-3.1034515185887273,0.001130068435356445
TSC2,1.0413195022038202e-62,1.3387687269657356,-1.3387687269657356,0.0011530989197428402
NUDT1,1.5947331963025553e-60,2.175140003569183,-1.6903887919134704,0.0011606183828640857
REPS1,3.774210347766431e-59,1.721891899629771,-1.721891899629771,0.001168130334597756
RNASEH2A,1.5285600880122325e-58,1.8258750495748082,-1.7184955299021247,0.0011894629984202027
DTD1,1.0858795470266427e-61,1.9343437117441624,-1.6291553685796565,0.0011902182918509252
MACROH2A2,4.509040605423118e-52,3.057195585234588,-3.057195585234588,0.0012017965109360177
ZNF787,1.0577762230314354e-57,2.127055967799535,-1.6515228760633214,0.0012162571776049963
ELAVL4,2.9931456861664795e-55,2.216894387921183,-2.1175958729733324,0.001238095713551057
GXYLT1,3.762169022733291e-61,1.4420715956543226,1.4420715956543226,0.0012951928588751343
UPF3B,8.453210724700504e-58,1.822244350011701,-1.6426762343164967,0.0012955497170227491
TBCC,1.8246526425184326e-62,1.6099202072002576,-1.4712082067059313,0.0012955497170227491
HPF1,6.833139498414601e-62,1.9747737530318012,-1.4886915501532378,0.0013515097039923755
HSD11B2,1.2549663256498293e-49,3.019011459568951,-2.7163345132093006,0.0013675263857097575
GTF3C3,7.519739770835738e-66,1.6558756690036347,-1.0860753465644706,0.0013799807821272062
SETMAR,1.1032283909894132e-58,1.6614719245010292,-1.654435762908097,0.0013991399506288692
