Gene,adj.P.Val_ANOVA,Max_Delta_Log2,logFC,adj.P.Val
PPM1G,8.060340649500812e-64,2.066731654542039,1.0213369345766097,1.9860319854627778e-4
EFNB2,4.24879486394582e-59,1.5694639795213163,1.281862182663943,2.0028407689234924e-4
SNX1,5.725866193366396e-63,1.2811108852456208,-1.1483904664052247,2.0028407689234924e-4
CAPN1,1.9548256548717147e-64,1.1292280606867457,-1.0779610504442054,2.083584531547706e-4
ISYNA1,9.158788510160964e-58,1.6444697869267912,1.6444697869267912,2.0965615267470262e-4
TAP2,2.813090028251918e-55,1.7464358544421934,-1.7464358544421934,2.1639303994334404e-4
PPP1R7,9.117093462541947e-62,1.257108053255795,-1.257108053255795,2.1639303994334404e-4
RFTN1,8.199081402896371e-60,2.0750513575507554,-1.33668430218707,2.2317090406574712e-4
NELFE,1.1966558416422322e-60,1.853568004100481,1.1693129264199875,2.2317090406574712e-4
CCAR2,1.837456789400676e-61,1.3094738661047138,1.2357695513620435,2.2450214813900702e-4
SOX2,4.968459583698322e-58,1.5513340283032484,1.3361816379918743,2.3034611557416136e-4
MYLK3,1.6748659935666226e-43,2.8768962867662236,2.628595773049387,2.452637673707998e-4
MTMR1,3.269383519245726e-61,1.6081134762200548,-1.1248031955964315,2.540372765973236e-4
PFKM,6.346811700948677e-58,1.8472886136209823,-1.6186185700028837,2.5866098273455955e-4
DYNLT3,1.5141217661702074e-59,1.3865953199992802,-1.3865953199992802,2.5866098273455955e-4
VPS26C,1.3972058343725781e-61,1.6798699864899618,-1.128479003171634,2.6137997026404696e-4
TAP1,1.2061685517378915e-56,2.3843100797598105,-1.6157279077881626,2.674802906716567e-4
GOLM1,2.2935857294318995e-58,1.9111331892595658,1.3552239001821853,2.674802906716567e-4
KIF13B,1.0862043860764722e-59,1.7254752218874394,-1.2723488721249723,2.674802906716567e-4
THRAP3,3.1005033900840577e-61,1.6609971237440853,1.206566669363454,2.674802906716567e-4
RAVER1,3.4632026530013345e-61,1.2631374706227056,1.1742161873446122,2.674802906716567e-4
CPNE3,1.783644169515989e-63,1.6208821556517847,-1.1014592214144585,2.674802906716567e-4
DNAH5,2.712124071112698e-43,2.9257224077094364,2.6846524108134506,2.676431426773229e-4
ENOPH1,1.5811517154459919e-62,2.0945749479639737,-1.1849833615027912,2.676431426773229e-4
ATP6V1E1,5.080642603103643e-59,1.5146563437848215,-1.5146563437848215,2.6943216071767984e-4
DYNC2H1,1.9410631250397279e-56,2.3568414580555483,1.485133308313106,2.703699604016756e-4
CORO7,5.181816578990518e-59,1.3794764837518727,-1.3794764837518727,2.7317713934054295e-4
SRRM1,7.448010968959942e-62,1.8892979832931225,1.1433458645951227,2.7734696900873305e-4
ATP6V1A,7.499608099582686e-59,1.4827579388207255,-1.4827579388207255,2.8673978040631075e-4
ARPC1B,3.747158494056713e-58,2.4289193627990393,-1.4762781874294788,2.8673978040631075e-4
NUDT3,2.120503107578044e-59,1.6820006832223733,-1.4361021794624875,2.954510979670954e-4
RAB5A,6.202816506776246e-63,1.5995002792101332,-1.132800058283717,2.954510979670954e-4
CHAMP1,3.208942203738504e-62,2.430924994346956,1.1080174206915814,3.0438523218934745e-4
G6PD,2.7171190640661595e-62,1.2432966534372376,-1.1601058582166957,3.10762624305126e-4
ROPN1L,1.1046784749242677e-53,2.1195786832009382,1.7404334065749154,3.311404156456298e-4
RUFY3,1.4582192851415678e-53,2.9417762865041936,-1.9892609841781415,3.3686046640148105e-4
EPN2,3.961182205123714e-54,2.530973668693477,-1.8430620010415986,3.6142323708736497e-4
ATP6V1B2,2.6232424959617655e-57,1.5789713832685877,-1.5789713832685877,3.6142323708736497e-4
TOP2B,3.725858288874482e-62,2.5781934654194814,1.1272963220867211,3.6142323708736497e-4
B9D1,5.3029767848153526e-52,2.0662600384352245,1.7192738639237142,3.6519849748839755e-4
RSU1,3.790454378484843e-59,1.49882262864665,-1.409682142901886,3.7481753071302485e-4
TAPBP,7.483510292590108e-57,2.5802883766538365,-1.5414321018688995,4.005037349175753e-4
HDAC2,3.5039039342458094e-63,2.753266073181205,1.05828437736794,4.1217604264419107e-4
MTA1,1.2711889364594882e-62,1.738568442961089,1.0326953049662748,4.382619547879987e-4
SRRM2,3.577474170152563e-60,1.3642948432238242,1.2079595019001808,4.4834596116297463e-4
HDGFL2,6.918767159693827e-59,2.001935802316911,1.3176702293805143,4.619824249969192e-4
TRIM3,2.6404789157515384e-59,1.2122470735907918,-1.2122470735907918,4.6877172010699e-4
SNX17,1.8836286277826044e-59,1.662346771637882,-1.2763928479935096,4.690044249922969e-4
KCTD21,2.0336212586985003e-55,2.130575165082643,-1.6133347676556546,5.065518674302199e-4
MEMO1,3.690944903251533e-62,1.2355464833123158,-1.0343935036961547,5.065518674302199e-4
TRAF3IP1,1.3010242741161036e-47,2.393137515595928,2.014053606912851,5.117790535027846e-4
SSB,1.4888753904950642e-62,1.1054112230090567,1.1054112230090567,5.117790535027846e-4
FGF1,4.295516734667546e-50,3.263435365065636,-2.45305883382861,5.216553689491077e-4
STX12,1.313171421114058e-63,1.0683005708318198,-1.0210243199127618,5.241924344416411e-4
WBP11,2.588650141970198e-62,1.8491909942943785,1.059327596253599,5.322253275496757e-4
APOE,8.44887558739349e-53,2.081920425548052,-2.081920425548052,5.478999599374437e-4
CWC15,3.582868754187752e-60,1.647734863973369,1.1300802950927533,5.850492104571457e-4
RHOC,6.915311450600987e-63,2.3175359755097666,-1.1711173010619298,5.894317750313267e-4
EPPK1,4.9453894109879315e-53,1.7318386967582882,1.7126391832173837,6.186244340039764e-4
LCP1,3.8872794726595864e-56,1.661968469554001,-1.6040412882930966,6.186244340039764e-4
PLPP3,1.9789925676391942e-57,1.465795247180349,-1.465795247180349,6.375092829132686e-4
MT3,9.91832398380133e-44,4.493184544134163,-3.3715800113685113,6.442088304603011e-4
DNM3,8.158159332323582e-57,1.7260219990756198,-1.5116628983093783,6.461585712483405e-4
EML3,5.639585252225098e-59,2.055153995948068,-1.242853424303334,6.461585712483405e-4
FHIT,4.462289924383643e-60,1.8827369244312742,-1.1662257965598393,6.470563584128165e-4
SNX9,4.456221638769717e-61,1.1093750047617164,-1.1093750047617164,6.470563584128165e-4
APOL2,1.9374401862065984e-55,1.892795458562567,-1.6212741212812354,6.603171347170214e-4
ABCB6,6.143684366878787e-58,1.589364246101308,1.298550203248137,6.603171347170214e-4
PCNA,2.1716740518600453e-62,2.2369790018092033,1.091917482139337,6.616035936494727e-4
EWSR1,9.712368468151546e-62,1.6003579420429794,1.1244871954745541,6.680084987069441e-4
PREP,1.0282602968244498e-62,1.3433278515365465,-1.0183955751635168,7.019937464409439e-4
SIRT2,4.8217919544709895e-54,2.8711954844827403,-1.7804584153932872,7.094381557870365e-4
FLNB,1.4784077525804499e-55,2.0998684082309147,1.6446708493386524,7.094381557870365e-4
DMWD,2.2806563872543238e-58,1.196570220176934,-1.196570220176934,7.094381557870365e-4
