"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Digestive system","hsa04972","Pancreatic secretion","17/815","41/3535",0.414634146341463,1.79844381265899,2.81450784003379,0.00636774032478515,0.0326877336672304,0.0231249517057987,"5578/3709/5906/5908/387/482/476/8766/5330/493/8671/5879/683/23236/952/477/5331",17
"Environmental Information Processing","Signaling molecules and interaction","hsa04519","Cadherin signaling","56/815","180/3535",0.311111111111111,1.3494205862304,2.63369878409025,0.00665178407096928,0.0330565268844651,0.0233858546311835,"55845/6093/2195/5595/1002/3071/5594/144501/5098/8777/51347/387/3551/23191/5101/55914/10097/10096/6237/1830/1009/7431/22808/10109/1008/57551/10093/7082/10094/5097/55800/4542/140807/1499/998/28316/10552/9344/1495/10787/5099/10095/5601/87/8517/102/5879/1496/4790/1952/1500/81873/81/23286/1501/1147",56
"Metabolism","Carbohydrate metabolism","hsa00562","Inositol phosphate metabolism","20/815","51/3535",0.392156862745098,1.70095031877782,2.7596936699015,0.00676156231727696,0.0330565268844651,0.0233858546311835,"3636/3635/4534/5336/3628/5291/5333/5330/113026/3707/9896/3705/80271/51763/5286/4329/23236/9107/5331/22908",20
"Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","20/815","51/3535",0.392156862745098,1.70095031877782,2.7596936699015,0.00676156231727696,0.0330565268844651,0.0233858546311835,"3685/6645/3696/1605/3693/1837/6443/1756/8910/3675/3679/3691/6444/6641/4842/3678/3688/7273/183/3690",20
"Organismal Systems","Immune system","hsa04611","Platelet activation","29/815","82/3535",0.353658536585366,1.53396678138561,2.67762960996803,0.00718616824684974,0.0345834346879644,0.0244660662351628,"8773/3709/54518/6093/5906/2771/695/5595/5594/5295/5908/387/5742/6786/5336/7094/6916/2207/83660/2977/5291/5330/2212/4067/3688/23236/2983/3690/5331",29
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","21/815","55/3535",0.381818181818182,1.65610708310095,2.68407145872713,0.00796617049109235,0.0377473924808683,0.0267044095814756,"5578/5269/5295/7879/5868/5878/3689/5291/5869/5330/3684/87/383/4790/23236/81/929/732/3315/5331/5272",21
"Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","27/815","76/3535",0.355263157894737,1.54092670326122,2.60914107196195,0.00871769639335486,0.0400753804351238,0.0283513456940213,"5578/6093/2771/5595/6609/2768/5594/5295/5525/387/56848/4217/2207/8717/5291/10715/5330/10558/5520/5601/29956/5879/5521/4790/23236/9517/5331",27
"Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","27/815","76/3535",0.355263157894737,1.54092670326122,2.60914107196195,0.00871769639335486,0.0400753804351238,0.0283513456940213,"53358/5906/6196/5595/5594/5295/5908/387/3551/5336/817/4915/8767/4217/998/5291/7189/5580/6197/6272/5601/51135/397/5879/4790/9261/5781",27
"Organismal Systems","Immune system","hsa04623","Cytosolic DNA-sensing pathway","16/815","39/3535",0.41025641025641,1.77945571810602,2.67895651310383,0.00904926785677874,0.0409878602924684,0.0289968799745077,"3428/3551/1687/29108/834/841/25939/8737/3661/8517/1777/4790/29110/1147/3606/57506",16
"Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","32/815","94/3535",0.340425531914894,1.4765696384284,2.56315922724148,0.00924387323378489,0.0412625066087789,0.0291911786330049,"9459/3685/10979/64098/3696/3693/5295/3611/7094/55742/3987/3675/7059/83660/3689/1499/3687/998/5291/3383/7143/3679/3691/3684/87/3678/3688/5879/81/718/3690/5829",32
"Human Diseases","Infectious disease: viral","hsa05162","Measles","24/815","66/3535",0.363636363636364,1.57724484104852,2.59094087783205,0.00948442119388857,0.0417314532531097,0.0295229351448862,"355/4478/4615/5295/10379/3551/3716/5610/9367/8717/841/5291/6772/7189/6774/5601/3661/51135/8517/4790/29110/4940/1147/57506",24
"Organismal Systems","Endocrine system","hsa04920","Adipocytokine signaling pathway","15/815","36/3535",0.416666666666667,1.80725971370143,2.66452735753614,0.0096369961069457,0.0418055605766095,0.0295753624038215,"5562/5565/1374/26060/3551/5571/8717/6774/5601/8517/8660/23205/4790/5781/1147",15
"Organismal Systems","Nervous system","hsa04730","Long-term depression","18/815","46/3535",0.391304347826087,1.69725260069352,2.60523076974179,0.0102189957346877,0.0437145928650528,0.0309259081444495,"5578/3709/369/2771/5595/2768/5594/2892/2977/2890/5330/4842/4067/2891/23236/2983/2895/5331",18
"Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","37/815","113/3535",0.327433628318584,1.42021825289104,2.48485903755582,0.0107417356409289,0.0453212955809053,0.0320625706946254,"5562/79065/5595/11337/5594/64422/5295/7879/27072/6237/10533/22808/64601/55823/51100/3916/57617/10133/65082/5291/23339/7189/5580/64121/10670/5601/11152/53349/643246/8660/8678/56270/23001/29110/10241/58528/3920",37
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","20/815","53/3535",0.377358490566038,1.63676351429564,2.55640316929838,0.0109902961114485,0.0457433946260291,0.0323611848516337,"355/5595/5594/5295/3551/64285/83786/4217/6868/8717/841/5291/3383/83737/8737/5601/8517/4790/182/1147",20
"Metabolism","Carbohydrate metabolism","hsa00500","Starch and sucrose metabolism","9/815","18/3535",0.5,2.16871165644172,2.72072764176359,0.0111480318835264,0.0457812509350152,0.0323879663142452,"5836/2992/55276/2997/7360/5236/5834/2632/8908",9
