Rank	ID	GeneSet	BroadUrl	Description	PubMedID	NumGenes	Contributor	Ontology	GOID	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	gage	zscore	ora
11	M11882	GO_RESPONSE_TO_INORGANIC_SUBSTANCE	http://www.broadinstitute.org/gsea/msigdb/cards/GO_RESPONSE_TO_INORGANIC_SUBSTANCE.html	Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an inorganic substance stimulus.		199/479	Gene Ontology	BP	GO:0010035	8.33237455675122e-48	4.52902431589232e-45	3005	1301.75	1097.5	2.08309363918781e-48	11	2.07780327454876	2.17585392229322	1	47.4114365495548	3001	11	1905	290
12	M17408	GO_SYNAPSE	http://www.broadinstitute.org/gsea/msigdb/cards/GO_SYNAPSE.html	The junction between a nerve fiber of one neuron and another neuron or muscle fiber or glial cell; the site of interneuronal communication. As the nerve fiber approaches the synapse it enlarges into a specialized structure, the presynaptic nerve ending, which contains mitochondria and synaptic vesicles. At the tip of the nerve ending is the presynaptic membrane; facing it, and separated from it by a minute cleft (the synaptic cleft) is a specialized area of membrane on the receiving cell, known as the postsynaptic membrane. In response to the arrival of nerve impulses, the presynaptic nerve ending secretes molecules of neurotransmitters into the synaptic cleft. These diffuse across the cleft and transmit the signal to the postsynaptic membrane.		314/754	Gene Ontology	CC	GO:0045202	2.37753518226146e-47	1.18460690456177e-44	75	179	46	5.94383795565362e-48	12	1.84214262733701	1.88692001884697	1	41.6382833556882	74	12	612	18
13	M17491	GO_CELL_SURFACE	http://www.broadinstitute.org/gsea/msigdb/cards/GO_CELL_SURFACE.html	The external part of the cell wall and/or plasma membrane.		257/757	Gene Ontology	CC	GO:0009986	3.22513275867547e-47	1.48331298185543e-44	1795	1085.75	1250	8.06283189668863e-48	13	1.92952573072339	1.94097295608534	1	43.51646286819	1794	13	1830	706
14	M17908	GO_CYTOSKELETAL_PROTEIN_BINDING	http://www.broadinstitute.org/gsea/msigdb/cards/GO_CYTOSKELETAL_PROTEIN_BINDING.html	Interacting selectively and non-covalently with any protein component of any cytoskeleton (actin, microtubule, or intermediate filament cytoskeleton).		429/819	Gene Ontology	MF	GO:0008092	1.01050192474304e-45	4.31556500574189e-43	140	119.25	77	2.52625481185759e-46	2	1.81785240054094	1.83564082221022	1	39.628630964603	140	14	321	2
15	M17664	GO_CELL_PROJECTION_PART	http://www.broadinstitute.org/gsea/msigdb/cards/GO_CELL_PROJECTION_PART.html	Any constituent part of a cell projection, a prolongation or process extending from a cell, e.g. a flagellum or axon.		407/946	Gene Ontology	CC	GO:0044463	4.13321980645975e-45	1.64750141485485e-42	15	100.5	40.5	1.03330495161493e-45	12	1.86871262798437	1.8874957558231	1	40.177933590783	66	15	309	12
16	M17632	GO_SARCOLEMMA	http://www.broadinstitute.org/gsea/msigdb/cards/GO_SARCOLEMMA.html	The outer membrane of a muscle cell, consisting of the plasma membrane, a covering basement membrane (about 100 nm thick and sometimes common to more than one fiber), and the associated loose network of collagen fibers.		56/125	Gene Ontology	CC	GO:0042383	5.41695172350638e-44	2.02424714717779e-41	530	300.5	330	1.3542379308766e-44	16	2.40355841687704	2.28009346827119	1	50.3299141374002	526	16	290	370
17	M17182	GO_AXON	http://www.broadinstitute.org/gsea/msigdb/cards/GO_AXON.html	The long process of a neuron that conducts nerve impulses, usually away from the cell body to the terminals and varicosities, which are sites of storage and release of neurotransmitter.		187/418	Gene Ontology	CC	GO:0030424	1.26431798202462e-43	4.44668071442659e-41	150	227.5	82	3.16079495506155e-44	8	2.01247928911118	2.05616772003048	1	41.786865973978	147	17	738	8
18	M10152	GO_NEUROLOGICAL_SYSTEM_PROCESS	http://www.broadinstitute.org/gsea/msigdb/cards/GO_NEUROLOGICAL_SYSTEM_PROCESS.html	A organ system process carried out by any of the organs or tissues of neurological system.		203/1242	Gene Ontology	BP	GO:0050877	6.80949483660872e-42	2.2618872015602e-39	725	425.75	369.5	1.70237370915217e-42	14	1.80140485522411	1.85925388689403	1	35.8223486308956	721	18	950	14
19	M15330	GO_NEURON_DIFFERENTIATION	http://www.broadinstitute.org/gsea/msigdb/cards/GO_NEURON_DIFFERENTIATION.html	The process in which a relatively unspecialized cell acquires specialized features of a neuron.		344/874	Gene Ontology	BP	GO:0030182	8.36429662990609e-42	2.63211208158992e-39	355	447.25	527	2.09107415747652e-42	19	2.00656185622581	2.06097879630476	1	39.8340976126852	354	19	700	716
20	M11957	GO_WOUND_HEALING	http://www.broadinstitute.org/gsea/msigdb/cards/GO_WOUND_HEALING.html	The series of events that restore integrity to a damaged tissue, following an injury.		202/470	Gene Ontology	BP	GO:0042060	1.81426089064929e-41	5.42373293259606e-39	1785	1188.25	1441	4.53565222662319e-42	20	1.86151063468902	1.85688497637944	1	36.6537750672097	1783	20	1851	1099
