Rank	ID	GeneSet	BroadUrl	Description	PubMedID	NumGenes	Contributor	Ontology	GOID	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	gage	zscore	ora
11	M16541	GO_DNA_REPLICATION	http://www.broadinstitute.org/gsea/msigdb/cards/GO_DNA_REPLICATION.html	The cellular metabolic process in which a cell duplicates one or more molecules of DNA. DNA replication begins when specific sequences, known as origins of replication, are recognized and bound by initiation proteins, and ends when the original DNA molecule has been completely duplicated and the copies topologically separated. The unit of replication usually corresponds to the genome of the cell, an organelle, or a virus. The template for replication can either be an existing DNA molecule or RNA.		89/208	Gene Ontology	BP	GO:0006260	1.28776714968503e-71	6.99959980724256e-69	25	25	25	3.21941787421255e-72	11	1.82840422920182	-1.83249036443497	-1	50.3185235025719	23	11	27	39
12	M19027	GO_SEQUENCE_SPECIFIC_DNA_BINDING	http://www.broadinstitute.org/gsea/msigdb/cards/GO_SEQUENCE_SPECIFIC_DNA_BINDING.html	Interacting selectively and non-covalently with DNA of a specific nucleotide composition, e.g. GC-rich DNA binding, or with a specific sequence motif or type of DNA e.g. promotor binding or rDNA binding.		172/1037	Gene Ontology	MF	GO:0043565	5.00035791083452e-70	2.4914283290733e-67	40	62.75	36	1.25008947770862e-70	12	1.83673310905967	-1.91018136113236	-1	49.3971461986939	38	12	167	34
13	M12160	GO_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER	http://www.broadinstitute.org/gsea/msigdb/cards/GO_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER.html	The synthesis of RNA from a DNA template by RNA polymerase II, originating at an RNA polymerase II promoter. Includes transcription of messenger RNA (mRNA) and certain small nuclear RNAs (snRNAs).		202/724	Gene Ontology	BP	GO:0006366	4.38541156430399e-69	2.01695198022873e-66	15	41.75	13	1.096352891076e-69	11	1.58517506691465	-1.62816797646194	-1	42.0503852104712	13	13	130	11
14	M18478	GO_DOUBLE_STRANDED_DNA_BINDING	http://www.broadinstitute.org/gsea/msigdb/cards/GO_DOUBLE_STRANDED_DNA_BINDING.html	Interacting selectively and non-covalently with double-stranded DNA.		164/764	Gene Ontology	MF	GO:0003690	2.8858402169695e-67	1.23245990409004e-64	55	76	42	7.21460054242371e-68	14	1.79620013188665	-1.88529179756697	-1	46.3528782232826	51	14	206	33
15	M16096	GO_RNA_SPLICING	http://www.broadinstitute.org/gsea/msigdb/cards/GO_RNA_SPLICING.html	The process of removing sections of the primary RNA transcript to remove sequences not present in the mature form of the RNA and joining the remaining sections to form the mature form of the RNA.		259/367	Gene Ontology	BP	GO:0008380	5.90138802894825e-67	2.35229326833877e-64	5	48.25	8.5	1.47534700723704e-67	2	1.45718669810296	-1.45355552952902	-1	37.4390963488515	2	15	174	2
16	M16770	GO_DNA_METABOLIC_PROCESS	http://www.broadinstitute.org/gsea/msigdb/cards/GO_DNA_METABOLIC_PROCESS.html	Any cellular metabolic process involving deoxyribonucleic acid. This is one of the two main types of nucleic acid, consisting of a long, unbranched macromolecule formed from one, or more commonly, two, strands of linked deoxyribonucleotides.		305/758	Gene Ontology	BP	GO:0006259	1.97537054349939e-65	7.38171279973927e-63	30	71.25	26.5	4.93842635874844e-66	16	1.60971402751097	-1.66915084449989	-1	40.3851202235446	29	16	216	24
17	M10642	GO_DNA_DEPENDENT_DNA_REPLICATION	http://www.broadinstitute.org/gsea/msigdb/cards/GO_DNA_DEPENDENT_DNA_REPLICATION.html	A DNA replication process that uses parental DNA as a template for the DNA-dependent DNA polymerases that synthesize the new strands.		49/99	Gene Ontology	BP	GO:0006261	2.05721598417984e-63	7.23534962906544e-61	45	27.75	29	5.14303996044965e-64	10	1.95662679426111	-1.96971761455424	-1	47.5153288762479	41	17	10	43
18	M12115	GO_CHROMATIN_ASSEMBLY_OR_DISASSEMBLY	http://www.broadinstitute.org/gsea/msigdb/cards/GO_CHROMATIN_ASSEMBLY_OR_DISASSEMBLY.html	The formation or destruction of chromatin structures.		57/177	Gene Ontology	BP	GO:0006333	4.45348791572869e-63	1.47930023600788e-60	40	33.5	35	1.11337197893218e-63	18	2.04828844135413	-2.04828844135413	-1	49.4843790063708	36	18	34	46
19	M12191	GO_DNA_CONFORMATION_CHANGE	http://www.broadinstitute.org/gsea/msigdb/cards/GO_DNA_CONFORMATION_CHANGE.html	A cellular process that results in a change in the spatial configuration of a DNA molecule. A conformation change can bend DNA, or alter the, twist, writhe, or linking number of a DNA molecule.		96/273	Gene Ontology	BP	GO:0071103	2.45220660547489e-62	7.71670699691284e-60	35	57.25	44	6.13051651368727e-63	19	1.85991820964791	-1.86667288358972	-1	44.3947985132633	31	19	122	57
20	M17924	GO_HISTONE_BINDING	http://www.broadinstitute.org/gsea/msigdb/cards/GO_HISTONE_BINDING.html	Interacting selectively and non-covalently with a histone, any of a group of water-soluble proteins found in association with the DNA of plant and animal chromosomes. They are involved in the condensation and coiling of chromosomes during cell division and have also been implicated in nonspecific suppression of gene activity.		72/177	Gene Ontology	MF	GO:0042393	6.46218540767838e-62	1.93187032762545e-59	25	22.75	20.5	1.61554635191958e-62	13	1.89486498032899	-1.90830303787643	-1	44.9240102074966	21	20	13	37
