category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Contrast,Regulation,Database
Human Diseases,Endocrine and metabolic disease,hsa04933,AGE-RAGE signaling pathway in diabetic complications,17/577,53/3259,0.32075471698113206,1.8116804551845915,2.7629646222039623,0.007637876625939101,0.033627873478092984,0.020657999646180317,5594/5578/5595/1027/5879/5295/5333/208/5290/3845/207/2152/6777/5335/113026/23236/183,17,ATRT_vs_Glial,Down,KEGG
Cellular Processes,Transport and catabolism,hsa04145,Phagosome,25/577,88/3259,0.2840909090909091,1.6045966598392944,2.6665087823834024,0.008098529109613093,0.03429709990143863,0.02106911333809114,5869/1783/5879/9146/5868/3685/7879/347733/7280/534/23673/529/523/9341/526/8417/51382/7277/79861/51606/5289/10382/10381/3105/3122,25,ATRT_vs_Glial,Down,KEGG
Organismal Systems,Endocrine system,hsa04928,"Parathyroid hormone synthesis, secretion and action",14/577,41/3259,0.34146341463414637,1.9286469121190348,2.7751316291656023,0.008214930878000666,0.03429709990143863,0.02106911333809114,2776/5594/5578/5595/2771/2767/10672/5567/3709/9368/27347/2773/2768/23236,14,ATRT_vs_Glial,Down,KEGG
Organismal Systems,Immune system,hsa04662,B cell receptor signaling pathway,13/577,37/3259,0.35135135135135137,1.9844957609255705,2.793096909503041,0.008222648556811785,0.03429709990143863,0.02106911333809114,5594/5595/975/5879/5530/5295/208/5290/3636/3845/207/5534/5881,13,ATRT_vs_Glial,Down,KEGG
Human Diseases,Cancer: specific types,hsa05214,Glioma,13/577,37/3259,0.35135135135135137,1.9844957609255705,2.793096909503041,0.008222648556811785,0.03429709990143863,0.02106911333809114,5594/5578/5595/818/817/5295/2475/5728/208/5290/3845/207/5335,13,ATRT_vs_Glial,Down,KEGG
Environmental Information Processing,Signal transduction,hsa04152,AMPK signaling pathway,19/577,62/3259,0.3064516129032258,1.7308939453234193,2.6947156875156852,0.008492881911374683,0.03496420215462045,0.02147892212719503,79966/7248/51719/5516/5295/5520/7249/9230/10890/2475/5213/208/5290/207/8660/6009/5529/5526/5565,19,ATRT_vs_Glial,Down,KEGG
Genetic Information Processing,"Folding, sorting and degradation",hsa04130,SNARE interactions in vesicular transport,9/577,22/3259,0.4090909090909091,2.3106191901685835,2.860556783482791,0.008962724154805536,0.035964348823713355,0.022093324032498658,10652/6845/10791/6810/9342/9341/8417/8773/6844,9,ATRT_vs_Glial,Down,KEGG
Organismal Systems,Digestive system,hsa04976,Bile secretion,9/577,22/3259,0.4090909090909091,2.3106191901685835,2.860556783482791,0.008962724154805536,0.035964348823713355,0.022093324032498658,361/5567/482/477/9429/476/481/8671/8714,9,ATRT_vs_Glial,Down,KEGG
Organismal Systems,Endocrine system,hsa04922,Glucagon signaling pathway,17/577,54/3259,0.3148148148148148,1.7781308171256178,2.6740500906562343,0.009367818657359776,0.03711998142978811,0.022803242784362614,2776/5257/818/5530/817/5567/3709/5213/208/3945/5255/5834/207/5534/5565/23236/5260,17,ATRT_vs_Glial,Down,KEGG
Human Diseases,Infectious disease: bacterial,hsa05130,Pathogenic Escherichia coli infection,30/577,112/3259,0.26785714285714285,1.5129054221341915,2.561721952096353,0.009748523926238678,0.038151630674292114,0.023436997093621258,5594/10006/26999/5781/5595/10787/4646/81873/10672/5879/10552/8976/7082/2597/347733/23191/7280/2017/9368/23365/355/10163/7277/2768/79861/10382/10458/10381/79784/4644,30,ATRT_vs_Glial,Down,KEGG
Metabolism,Metabolism of cofactors and vitamins,hsa00790,Folate biosynthesis,6/577,12/3259,0.5,2.8240901213171576,2.935822738634847,0.010571977695309027,0.0405539316464725,0.02491275893939038,5860/231/873/4338/84105/8644,6,ATRT_vs_Glial,Down,KEGG
Cellular Processes,Transport and catabolism,hsa04142,Lysosome biogenesis,35/577,136/3259,0.25735294117647056,1.4535757977367723,2.505921111648192,0.010618221850653684,0.0405539316464725,0.02491275893939038,55207/112936/55823/65082/127829/64601/7879/2475/27072/23557/10670/534/9885/6272/64121/8649/160/6845/1173/529/523/9907/9342/427/526/51382/26088/23335/163/1175/23230/51606/8905/10947/55004,35,ATRT_vs_Glial,Down,KEGG
Organismal Systems,Endocrine system,hsa04926,Relaxin signaling pathway,17/577,55/3259,0.3090909090909091,1.745801165905152,2.5869748629893854,0.011396619218553786,0.04300867014620893,0.026420733777349006,2775/55970/5594/5578/5595/59345/2771/2783/5295/5567/2782/208/5290/3845/207/2773/23236,17,ATRT_vs_Glial,Down,KEGG
Human Diseases,Cancer: overview,hsa05200,Pathways in cancer,45/577,186/3259,0.24193548387096775,1.3664952199921732,2.387138221554197,0.013183013275126115,0.04866450533744247,0.029895180101035552,55970/2776/5594/5578/5595/59345/2771/2767/10672/1027/2783/5879/818/817/5295/2947/5567/5898/1399/3685/2782/2946/2475/5728/208/1499/2246/5290/3675/2952/3845/207/3716/6777/23365/355/5335/2773/2944/6500/2768/5881/613/23236/183,45,ATRT_vs_Glial,Down,KEGG
Human Diseases,Substance dependence,hsa05032,Morphine addiction,10/577,27/3259,0.37037037037037035,2.0919186083830796,2.642229475836707,0.013202357914889754,0.04866450533744247,0.029895180101035552,2775/55970/5578/59345/2771/2783/5567/2782/2773/156,10,ATRT_vs_Glial,Down,KEGG
Metabolism,Xenobiotics biodegradation and metabolism,hsa00982,Drug metabolism - cytochrome P450,7/577,16/3259,0.4375,2.471078856152513,2.7356247873698063,0.013780410046809941,0.04908303353751406,0.03015228691495966,4129/2947/4128/2946/2952/128/2944,7,ATRT_vs_Glial,Down,KEGG
Organismal Systems,Sensory system,hsa04740,Olfactory transduction,7/577,16/3259,0.4375,2.471078856152513,2.7356247873698063,0.013780410046809941,0.04908303353751406,0.03015228691495966,818/817/5567/2782/125963/83988/156,7,ATRT_vs_Glial,Down,KEGG
Organismal Systems,Excretory system,hsa04964,Proximal tubule bicarbonate reclamation,7/577,16/3259,0.4375,2.471078856152513,2.7356247873698063,0.013780410046809941,0.04908303353751406,0.03015228691495966,4190/482/477/476/481/8671/2746,7,ATRT_vs_Glial,Down,KEGG
Human Diseases,Infectious disease: viral,hsa05165,Human papillomavirus infection,37/577,148/3259,0.25,1.4120450606585788,2.3793570860153817,0.014085694823855641,0.04961294732402487,0.030477819209512206,5594/5595/7248/1027/3996/5516/5295/5567/5520/7249/3685/2475/5728/3696/208/534/1499/5290/3675/1739/3679/64398/3845/207/3716/9368/355/6009/529/5529/5526/523/526/51382/5829/51606/3105,37,ATRT_vs_Glial,Down,KEGG
