category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Contrast,Regulation,Database
Organismal Systems,Endocrine system,hsa03320,PPAR signaling pathway,12/545,34/3259,0.35294117647058826,2.110523475445224,2.916561993354568,0.006637964993386916,0.031781771786519177,0.021491338016866725,30/79966/10580/4199/1374/376497/2173/1622/23305/23205/5360/10873,12,MB_vs_Glial,Down,KEGG
Human Diseases,Substance dependence,hsa05034,Alcoholism,15/545,47/3259,0.3191489361702128,1.9084520788600432,2.81081364541038,0.007378405975788205,0.034799646094762285,0.02353207247580527,5594/59345/5595/4129/55970/2771/2783/5604/2775/4915/2782/4128/2787/3845/10681,15,MB_vs_Glial,Down,KEGG
Metabolism,Amino acid metabolism,hsa00220,Arginine biosynthesis,6/545,12/3259,0.5,2.989908256880734,3.0942215197984404,0.007943208354284128,0.0369125564699086,0.024960855973988824,2746/2752/435/95/84706/2875,6,MB_vs_Glial,Down,KEGG
Environmental Information Processing,Signal transduction,hsa04015,Rap1 signaling pathway,23/545,84/3259,0.27380952380952384,1.6373307121013545,2.6515602189517073,0.008730117709069927,0.03826781093745672,0.025877300533989723,5578/5594/5595/2771/5899/2246/998/83660/5906/2247/2776/5295/6494/5604/1499/2775/22808/3689/3845/3684/7410/23236/5909,23,MB_vs_Glial,Down,KEGG
Organismal Systems,Immune system,hsa04672,Intestinal immune network for IgA production,4/545,6/3259,0.6666666666666666,3.9865443425076448,3.280737103490958,0.008746428437666206,0.03826781093745672,0.025877300533989723,3122/3123/3115/3119,4,MB_vs_Glial,Down,KEGG
Human Diseases,Immune disease,hsa05310,Asthma,4/545,6/3259,0.6666666666666666,3.9865443425076448,3.280737103490958,0.008746428437666206,0.03826781093745672,0.025877300533989723,3122/3123/3115/3119,4,MB_vs_Glial,Down,KEGG
Organismal Systems,Endocrine system,hsa04911,Insulin secretion,11/545,31/3259,0.3548387096774194,2.1218703758508437,2.8120668032171925,0.008822209156887199,0.03826781093745672,0.025877300533989723,5578/482/817/477/476/2776/818/23236/483/117/816,11,MB_vs_Glial,Down,KEGG
Metabolism,Carbohydrate metabolism,hsa00640,Propanoate metabolism,10/545,27/3259,0.37037037037037035,2.2147468569486914,2.839885691216763,0.008840348729222597,0.03826781093745672,0.025877300533989723,55862/18/3030/8801/3945/4329/35/26275/8802/79611,10,MB_vs_Glial,Down,KEGG
Metabolism,Carbohydrate metabolism,hsa00010,Glycolysis / Gluconeogenesis,14/545,44/3259,0.3181818181818182,1.9026688907422853,2.701053550020925,0.009788972146980358,0.0412442026459439,0.027889983801221232,230/2597/223/3945/5236/217/5315/5214/5213/2023/5223/501/5224/226,14,MB_vs_Glial,Down,KEGG
Human Diseases,Cancer: overview,hsa05230,Central carbon metabolism in cancer,14/545,44/3259,0.3181818181818182,1.9026688907422853,2.701053550020925,0.009788972146980358,0.0412442026459439,0.027889983801221232,5594/5595/3945/5315/5214/2539/5295/5213/5223/5604/3417/8140/3845/5224,14,MB_vs_Glial,Down,KEGG
Organismal Systems,Excretory system,hsa04964,Proximal tubule bicarbonate reclamation,7/545,16/3259,0.4375,2.6161697247706424,2.90363721144439,0.010076833053227745,0.041898411116052206,0.028332369941900727,482/477/476/8671/2746/358/483,7,MB_vs_Glial,Down,KEGG
Organismal Systems,Endocrine system,hsa04925,Aldosterone synthesis and secretion,12/545,36/3259,0.3333333333333333,1.9932721712538224,2.685086215297648,0.011004780179036418,0.045162474500980626,0.030539581358091497,5578/482/817/493/477/476/3709/2776/818/23236/483/816,12,MB_vs_Glial,Down,KEGG
Cellular Processes,Cell growth and death,hsa04216,Ferroptosis,10/545,28/3259,0.35714285714285715,2.13564875491481,2.7041042779338094,0.011746834493188222,0.047589739741634336,0.03218093660077205,10533/2937/6520/55240/23305/2495/2512/5621/1536/23657,10,MB_vs_Glial,Down,KEGG
Organismal Systems,Immune system,hsa04666,Fc gamma R-mediated phagocytosis,18/545,63/3259,0.2857142857142857,1.7085190039318479,2.5444109872601275,0.01231462035230229,0.04925848140920916,0.03330936617611412,5578/5594/5595/10163/998/81873/1793/10552/5295/5604/1073/8613/85477/274/23396/55616/7410/4082,18,MB_vs_Glial,Down,KEGG
