;ATRT;EPN;HGG;LGG;MB
OXR1;0;0;0;0.041601677;0
GPRIN3;0;0;0;0;0
GRIA3;0;0;0;0.00014395;0
GRIK3;0;-0.024947741;0;0.014732168;0
GH1;0;0;0;-0.092055332;0
ARIH2;0;0;0.011660047;-0.006564047;0
AKAP2;0;0;0;0;0
CHKB;0;0;0;0;0
XYLB;0;0;0;0;0.018891268
WLS;0;0.006163453;0;0;-0.011176255
VPS36;0;0;0;0;0
WASL;0;0;0;0.021633715;0
UTP15;0;0;0;0;0
VASN;0;0;0;0;0
VIRMA;0;0;0;0;0
UBL5;0;0;-0.014231429;0;0
NPAS3;-0.047460954;0;0;0;0
OSBP2;-0.020533109;0;0;0;0
H2AFY2;0;0;-0.03136061;0;0
INTS13;0;0;0;-0.04075746;0
ITGB5;0;0;0;0;0
EEF1E1;0;0.05599141;0;0;0
CYB5A;0;0;0.034606882;0;0
CYP27A1;0;0;0;0;0
DCTN1;0;0;0;0;0
CLGN;0;0;0;0;0
COL3A1;0;0;-0.040955333;0;0
ARL3;0;0;0;0;0
SZT2;-0.043715581;0;0;0;0
TBC1D17;0;0;0;0;0
SNAP29;0;0;0;0;0
AARS;0;0;0;0;0
ACADS;0;0;0;0.106092536;0
GARS;0;0;0.026275736;0;0
GET4;0;0;0;0;0
FYCO1;0;0;0;0.018968094;0
OARD1;0;0;0;0;0
OSBPL6;0;0;0;0;0
NT5C3A;0;0;0;-0.038019199;0
NUDT5;0;0;0.033074849;0;0
NDUFA2;0;0;-0.08211282;0;0
NDUFAF6;0;0;0;0;0
MSI1;0;0;0;0;0
MTR;0;0;0;0;0
ILK;0;0;0;0.000569738;0
RTN1;-0.02254555;0;0;0;0
SPAG1;0;0.007213243;0;0;0
RPAP3;0;0;0;0;0
SLC16A1;0;0;0;-0.034080612;0
PPP1R21;0;0;-0.016779905;0;0
TFAP4;0;0;0;0;0
NCAPG;0;0;0;0;0.000967795
SLC16A3;0;0;0;0;0
SLC38A3;-0.003246679;0;0;0;0
METTL16;0;0;0;-0.001376946;0
LAGE3;0;0;-0.02843208;0;0
IRAK4;0;0;0;0;-0.02882701
PRKRA;0;0;-0.02156827;0;0
ZHX2;0;0.035629033;0;0;0
BCAT2;0.03536873;0;0;0;0
WARS2;-0.045158896;0;0;0;0
TFG;0;0;0.00575219;0;0
