category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Infectious disease: viral,hsa05170,Human immunodeficiency virus 1 infection,14/210,214/9376,0.06542056074766354,2.920872274143302,4.302447603396549,3.151402158541599e-4,0.0029231971746472075,0.0018187765633688356,5578/5595/5594/10681/2787/3845/2771/2775/2776/2782/2783/59345/55970/1073,14
Organismal Systems,Immune system,hsa04666,Fc gamma R-mediated phagocytosis,9/210,98/9376,0.09183673469387756,4.100291545189505,4.669751269097989,3.351745229815804e-4,0.0030053982227348374,0.0018699210229498695,8613/5578/5595/5594/23396/4082/10552/81873/1073,9
Human Diseases,Substance dependence,hsa05034,Alcoholism,13/210,191/9376,0.06806282722513089,3.038843181251558,4.308898713004002,3.5243150380805983e-4,0.003040180522704447,0.0018915621330855296,4128/5595/5594/10681/2787/3845/2771/2775/4129/2782/2783/59345/55970,13
Human Diseases,Cancer: overview,hsa05231,Choline metabolism in cancer,9/210,99/9376,0.09090909090909091,4.058874458874459,4.63106451671094,3.616571625522019e-4,0.003040180522704447,0.0018915621330855296,8613/5578/5595/5594/7248/23396/3845/57153/23446,9
Cellular Processes,Cellular community - eukaryotes,hsa04530,Tight junction,12/210,170/9376,0.07058823529411765,3.1515966386554624,4.285043071719148,4.2718829065358166e-4,0.0034822318238125296,0.002166600899965534,4478/58494/7277/9368/5962/5516/5520/7082/3996/64398/10552/81873,12
Environmental Information Processing,Signal transduction,hsa04071,Sphingolipid signaling pathway,10/210,125/9376,0.08,3.571809523809524,4.381318500171679,4.8353894897216874e-4,0.003825646390397453,0.0023802691296153197,5578/5595/5594/3845/2771/2776/5516/5520/2768/10672,10
Metabolism,Metabolism of other amino acids,hsa00410,beta-Alanine metabolism,5/210,31/9376,0.16129032258064516,7.201228878648234,5.234489271423482,5.679570731948143e-4,0.004365155791125858,0.0027159451018939993,217/223/18/4329/55748,5
Organismal Systems,Endocrine system,hsa04911,Insulin secretion,8/210,86/9376,0.09302325581395349,4.1532668881506085,4.446389031735719,6.57473143095217e-4,0.0047836698564043675,0.00297633929629542,482/5578/818/117/816/476/2776/477,8
Metabolism,Amino acid metabolism,hsa00280,"Valine, leucine and isoleucine degradation",6/210,48/9376,0.125,5.580952380952381,4.816011179605834,6.579768947470692e-4,0.0047836698564043675,0.00297633929629542,217/3712/223/5019/18/4329,6
Organismal Systems,Nervous system,hsa04720,Long-term potentiation,7/210,67/9376,0.1044776119402985,4.664676616915423,4.556453079129625,7.12163956905577e-4,0.005041371168621058,0.003136677815733705,5578/5595/5594/818/816/3845/2776,7
Organismal Systems,Development and regeneration,hsa04360,Axon guidance,12/210,184/9376,0.06521739130434782,2.911801242236025,3.964167550865532,8.663042564464026e-4,0.00597527807651493,0.0037177429628873957,3983/5578/5595/5594/5781/818/816/5364/3845/2771/1808/1073,12
Environmental Information Processing,Signal transduction,hsa04014,Ras signaling pathway,14/210,238/9376,0.058823529411764705,2.626330532212885,3.846600433086392,9.106792085442276e-4,0.006124317677459931,0.0038104735304876894,5578/5595/5594/5781/10681/2787/22808/3845/5869/22800/2782/2783/59345/55970,14
Metabolism,Global and overview maps,hsa01200,Carbon metabolism,9/210,116/9376,0.07758620689655173,3.464039408866995,4.0418157310245855,0.0011485563160521597,0.007535649976049536,0.004688586758723836,5213/230/2746/5091/2653/7086/4329/113675/29968,9
Metabolism,Amino acid metabolism,hsa00270,Cysteine and methionine metabolism,6/210,54/9376,0.1111111111111111,4.960846560846561,4.41810169678001,0.0012389406505060256,0.007935119880621927,0.004937131915550327,10768/58478/3945/883/113675/29968,6
Metabolism,Amino acid metabolism,hsa00350,Tyrosine metabolism,5/210,37/9376,0.13513513513513514,6.033462033462034,4.643258159652203,0.0013067288050282774,0.008174652291921084,0.00508616597305988,2184/4128/2954/1312/4129,5
Human Diseases,Infectious disease: bacterial,hsa05132,Salmonella infection,14/210,248/9376,0.056451612903225805,2.5204301075268813,3.6729062626613067,0.0013530499065663622,0.008272055110598895,0.005146768783350517,5595/5594/388/7277/10006/26999/7280/1499/7879/5869/10552/112574/81873/10787,14
