Gene,adj.P.Val_ANOVA,Max_Delta_Log2,logFC,adj.P.Val
UGDH,5.971247621507486e-52,2.9442969169945457,-2.3619665522575914,0.00304807006828311
LZTFL1,1.585999277453109e-56,3.027332917095265,1.7811897182871448,0.0030610846416693465
EXOSC7,2.9083024556600717e-62,1.1707744421465947,-1.1098112787937566,0.0030610846416693465
FBN2,1.0519024233530191e-47,3.0900090026465534,-2.732597657251862,0.003069795908739945
ATAD2,6.559005627954358e-53,2.9659343171326533,-1.6950456449699907,0.003069795908739945
DNM3,8.158159332324046e-57,1.7260219990756234,1.7260219990756234,0.0031040454928064794
IGF2R,2.7183615080930604e-57,1.5164415028553613,-1.5164415028553613,0.0031040454928064794
KDELR3,8.440623455259109e-55,1.7361232862962623,-1.7361232862962623,0.003117512288056684
SLC1A3,6.704722698527461e-47,4.814464120316924,3.4221099469566774,0.003130643251099442
RBP1,7.545449080000565e-47,3.4570278081339936,3.4517652892592245,0.0031804013475809933
PDE6D,2.5011672270908683e-58,1.5929923554909777,1.5929923554909777,0.00319555653898358
CARS1,5.938170542424464e-64,1.2603105772335539,1.057789266247724,0.00319555653898358
STAMBP,1.0774231891310927e-59,1.3186154958768768,1.3186154958768768,0.003272644473634722
PEG10,3.921210132418557e-58,1.462584170932221,-1.462584170932221,0.0032889151534858077
DLG1,1.7114743258752644e-58,1.4104028082726963,1.4104028082726963,0.003293612494552428
LIG1,4.047609970246482e-62,2.217269658049915,-1.0394600088736112,0.003293612494552428
HDHD5,6.354706815708526e-57,1.6191001007394128,-1.6191001007394128,0.0033162978035969626
INTS7,4.269403283276338e-55,1.712856436974139,-1.712856436974139,0.0033366499056073813
NOL6,5.720870361702234e-57,1.466838810097368,-1.466838810097368,0.0033366499056073813
UHRF1,2.437265437518977e-61,2.1811139900390977,-1.08716873816633,0.0033639443498237856
PALM,3.9220730811489236e-50,2.572870598090521,2.572870598090521,0.0034131681401829454
XXYLT1,2.4362154270305753e-60,1.1599750625452891,-1.1599750625452891,0.0034131681401829454
PGM1,1.6397028819688513e-57,2.030641998693717,1.7681022652723009,0.0034231867165803536
TAOK1,2.9641949709857867e-62,1.0565498039004453,1.0565498039004453,0.0035032477883358295
EXOC5,1.319458344886677e-63,1.0257722756259327,1.0257722756259327,0.003505499407130697
DHX15,3.4475004928604766e-64,1.7694474857555136,-1.0699343400711534,0.0035463065378790936
NCAPH,1.845478172790427e-52,2.814274742861972,-1.6314377021048827,0.003568122322499988
BTAF1,1.419025904898006e-62,1.0153366579337586,-1.0153366579337586,0.003568122322499988
INPPL1,4.565551720279967e-62,1.104152193173661,1.104152193173661,0.0035718343302304297
PACS1,5.497055960771957e-60,1.3017277274271564,1.3017277274271564,0.003595877786715616
CPNE8,2.919852658680107e-58,1.4241267532771218,1.4241267532771218,0.0036042989975147025
GMPS,6.202816506776071e-63,1.2770309503552006,-1.1199150792547954,0.0036042989975147025
ZNFX1,2.846522582033041e-59,1.270738738938629,1.270738738938629,0.0036194476770084424
ITGA7,6.591363501997615e-58,1.7139032014146949,1.5135620633222402,0.0036389190782428406
DGKG,2.047005055973466e-59,1.3339017277336538,1.3339017277336538,0.0036462877375369645
