#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
HNMT	MAOB	9606.ENSP00000280097	9606.ENSP00000367309	0	0	0	0	0.126	0	0.900	0	0.908
HNMT	MAOA	9606.ENSP00000280097	9606.ENSP00000340684	0	0	0	0	0.129	0	0.900	0	0.909
ICAM1	KRAS	9606.ENSP00000264832	9606.ENSP00000256078	0	0	0	0	0.067	0	0.900	0	0.902
ICAM1	MSN	9606.ENSP00000264832	9606.ENSP00000353408	0	0	0	0	0.083	0.089	0.900	0	0.909
ICAM1	ITGB2	9606.ENSP00000264832	9606.ENSP00000380948	0	0	0	0	0.154	0.735	0.900	0	0.975
ICAM1	ITGAM	9606.ENSP00000264832	9606.ENSP00000496959	0	0	0	0	0.133	0.292	0.900	0	0.933
IMPA1	MTM1	9606.ENSP00000408526	9606.ENSP00000359423	0	0	0	0	0.067	0	0.900	0	0.902
IMPA1	INPP1	9606.ENSP00000408526	9606.ENSP00000376142	0	0	0	0	0.043	0	0.915	0	0.915
INPP1	PLCB1	9606.ENSP00000376142	9606.ENSP00000338185	0	0	0	0	0	0	0.900	0	0.900
INPP1	PLCD3	9606.ENSP00000376142	9606.ENSP00000479636	0	0	0	0	0	0	0.900	0	0.900
INPP1	PLCD1	9606.ENSP00000376142	9606.ENSP00000430344	0	0	0	0	0.045	0	0.900	0	0.900
ITGA3	ITGB8	9606.ENSP00000315190	9606.ENSP00000222573	0	0	0	0	0.048	0.114	0.900	0	0.908
ITGA3	ITGAV	9606.ENSP00000315190	9606.ENSP00000261023	0	0	0	0.647	0.067	0	0.900	0	0.902
ITGA3	ITGB2	9606.ENSP00000315190	9606.ENSP00000380948	0	0	0	0	0.067	0.135	0.900	0	0.912
ITGAM	PIK3CA	9606.ENSP00000496959	9606.ENSP00000263967	0	0	0	0	0.053	0	0.900	0	0.901
ITGAM	RAP1A	9606.ENSP00000496959	9606.ENSP00000358723	0	0	0	0	0.088	0	0.900	0	0.904
