"","EPN03","EPN04","GN01","GN03","EPN02","EPNO5","EPN01","GN02","HGG01","MB04","MB06","MB02","MB01","MB03","MB05","MB07","GN06","HGG04","A01","LGG02","LGG03","LGG04","PA01","PA02","PA03","PA04","PA05","PA06","PA07","GN04","GN05","A02","HGG02","ATRT02","ATRT01","ATRT03","HGG03","LGG01"
"LGG03",0.685238264540142,0.687057446759463,0.673368535957778,0.618076185386037,0.660483371700382,0.755261757082211,0.702542915230285,0.806669159495198,0.720401471317052,0.604593973973187,0.489930111074672,0.575365712990801,0.53023965003489,0.564741942681468,0.563523250561,0.568718957648207,0.765551502789708,0.709079413752234,0.783059782570539,0.797846969439261,1,0.921581329064204,0.788849355372479,0.903274255562883,0.828874455306812,0.858136379102009,0.855242719400543,0.880119387910304,0.837812392866617,0.773530610005248,0.726577801706284,0.75881994929827,0.719761652775236,0.560657312949795,0.674338437442422,0.630327472624243,0.759207823172492,0.826121566944921
"LGG04",0.70558379227156,0.697740242341551,0.658836645850904,0.626150600156643,0.68632283566168,0.777386330373909,0.717617098785436,0.816092931407568,0.72084246290025,0.591415189117089,0.479335828793979,0.583143031258841,0.538778925290652,0.55936418758701,0.568637554465362,0.578715089306435,0.763263086859239,0.70289898818949,0.796794216831671,0.796851778529729,0.921581329064204,1,0.811505661665442,0.891587276874633,0.845509937352579,0.857072058502305,0.877878227490388,0.892069682993421,0.845662512896113,0.785391633851006,0.738363319471782,0.750958333948104,0.731359737386394,0.541254558269452,0.663845702082102,0.612570232397806,0.761883493915417,0.79331818529053
"PA01",0.657032128079819,0.636997144288106,0.583761752583296,0.581673643540821,0.670799117596835,0.751482320839325,0.692261866516012,0.746422984325487,0.694482464058602,0.538341661173191,0.434655492437428,0.519386687191747,0.464000363894128,0.534292037156787,0.509645263095382,0.560298432581583,0.73360851254109,0.672644649736247,0.865035398308329,0.724573264560504,0.788849355372479,0.811505661665442,1,0.816243997218309,0.880887511534225,0.786690039140381,0.794304512477378,0.85086764567533,0.881978342429641,0.77293761249915,0.740575708531001,0.757322670406552,0.688187780475362,0.472524270025716,0.599051013904151,0.559077610439855,0.690956706581405,0.6898905242009
"PA02",0.671355684604713,0.672424924101923,0.655638277160958,0.615151005164428,0.65281824705493,0.738762367532887,0.706597200043405,0.792514202212801,0.712294393943657,0.602497658573533,0.483674407364236,0.580871875394958,0.52908831710707,0.566295078345624,0.568755912512094,0.582718912348758,0.762350401672094,0.692421892131249,0.78680164736324,0.764318898230168,0.903274255562883,0.891587276874633,0.816243997218309,1,0.833423916045978,0.852135742576622,0.833167463225002,0.866572175641319,0.838349939644175,0.776692407930878,0.713316452996504,0.775884860158133,0.728984037782934,0.547934600874926,0.668586309084387,0.622696768983047,0.752199316100974,0.791851693439437
"PA03",0.664544834963428,0.656965619765276,0.592702143058667,0.5749023044282,0.663138669352722,0.771708436754478,0.685442151532134,0.744186387129729,0.675910443319787,0.527609549964598,0.415839549321596,0.513895274077428,0.459282737666717,0.489764186230149,0.493594295658165,0.517466125425019,0.755964235499393,0.682413547962877,0.858964213490054,0.742417747064113,0.828874455306812,0.845509937352579,0.880887511534225,0.833423916045978,1,0.831430723207918,0.830184137671311,0.863084821622045,0.883457936720684,0.780375793827091,0.761938187173979,0.73432063775014,0.683944827686438,0.471415208360343,0.598339093708482,0.545050755382821,0.692616617425071,0.714490482327117
"PA04",0.657412219294874,0.673205999505409,0.640103520793523,0.608850769904538,0.640282104122118,0.724653436823027,0.690630105320144,0.779409752147378,0.673161919476251,0.590568369047848,0.485998554039573,0.566127622527687,0.525075503033321,0.549082125572824,0.555417756433901,0.556489791151234,0.737042949265675,0.672461556901668,0.760145737160681,0.75386974668165,0.858136379102009,0.857072058502305,0.786690039140381,0.852135742576622,0.831430723207918,1,0.798724055022588,0.830708859000864,0.834290390212178,0.751723126445229,0.695923127101068,0.727005729263053,0.693635496893516,0.534234124646084,0.637226592272468,0.605245273164308,0.724661967574035,0.781442505135064
"PA05",0.7248318828787,0.693616736401557,0.649793570390925,0.581051724498442,0.708581059649397,0.825728193483514,0.70166428286788,0.761649228344586,0.691318611560859,0.550974548431493,0.436004771789555,0.530682077465149,0.494876447200336,0.509406453240559,0.517343792669543,0.528395394518198,0.761249535708956,0.693253999112057,0.813171134366391,0.787099799186775,0.855242719400543,0.877878227490388,0.794304512477378,0.833167463225002,0.830184137671311,0.798724055022588,1,0.872767105620045,0.804721556604296,0.764139933159178,0.777549963397302,0.69180693930792,0.693714034387444,0.485317300230878,0.591181226602633,0.535888409204416,0.662535864428016,0.721062652505245
"PA06",0.707375049776394,0.687246659017019,0.651774661822464,0.610138116596296,0.705503784962388,0.790557596665644,0.721660768643853,0.808495533693792,0.712666818602488,0.585568857750562,0.480079612965531,0.550964174411569,0.498212354955736,0.544478652757834,0.543319964786794,0.555793240340269,0.774635097655272,0.737845789918211,0.847418187841777,0.821557278676778,0.880119387910304,0.892069682993421,0.85086764567533,0.866572175641319,0.863084821622045,0.830708859000864,0.872767105620045,1,0.857849622562467,0.793683853270478,0.795783934994151,0.750012575300486,0.715364245853157,0.511999959077626,0.633811443340069,0.588389344208782,0.721878044348169,0.771631361050778
"PA07",0.665252054195987,0.650281993754393,0.623265258341635,0.594524200772821,0.663801544304915,0.743873844211484,0.69144326127869,0.760443176091676,0.704793032936793,0.559417759603014,0.466092096944248,0.538555910070929,0.485585233853363,0.548037057643522,0.526979001254233,0.562466486237859,0.746784875709381,0.672948020388045,0.841657400412498,0.745547978193004,0.837812392866617,0.845662512896113,0.881978342429641,0.838349939644175,0.883457936720684,0.834290390212178,0.804721556604296,0.857849622562467,1,0.77788903241536,0.732302910254339,0.754708531292002,0.705966611161638,0.508249745760012,0.633488277248883,0.588181623028769,0.721385725185039,0.739871114694421
"GN04",0.755858749547047,0.723702166050263,0.674782228038688,0.699242036370795,0.74283211966302,0.796701604242631,0.73767616284887,0.788015330227025,0.71537740267303,0.614233963493719,0.488121151219409,0.532666562362539,0.487516880631588,0.536787151433829,0.540929590420053,0.531535889824242,0.773248892238056,0.644853062642554,0.790249357936479,0.753867399049727,0.773530610005248,0.785391633851006,0.77293761249915,0.776692407930878,0.780375793827091,0.751723126445229,0.764139933159178,0.793683853270478,0.77788903241536,1,0.716276552720778,0.678273307088075,0.725014722111901,0.534854574749657,0.634588044372124,0.619532072610909,0.699974563163081,0.73474913385681
